,0,1,2,3,4
0,56746710.83427555,108013704.0,0.0,616374172.1025072,177835342.72500002
1,85439965.39092436,93424923.59999998,0.0,923856340.7738155,266951426.52499968
2,44448779.839865245,107953729.2,0.0,474428371.1173178,136972850.04999995
3,45876324.32959276,107178610.8,0.0,494536953.8480338,143227480.94999996
4,61687877.99964905,104443423.20000002,0.0,684717863.2307948,198247580.34999996
5,99258218.84156042,48937559.99999996,0.0,1083896572.5447881,313245382.3749999
6,70327024.56494598,65368212.599999994,0.0,758749582.4609495,219282214.82500005
7,99180175.2126089,77499102.59999998,0.0,1091676082.2787724,315208838.89999986
8,63863787.81782439,99713707.8,0.0,700149431.9180335,201731413.27499998
9,99945081.09946273,67995553.19999999,2944721999.9999986,1091676082.2787724,330991267.87499976
