,0,1,2,3,4
0,56746710.83427555,53049822.00000001,0.0,923856340.7738154,177835342.72500002
1,85439965.39092436,74018259.6,0.0,474428371.1173178,266951426.52499968
2,44448779.839865245,36575243.99999999,0.0,494536953.84803355,136972850.04999995
3,45876324.329592764,38125480.79999998,0.0,684717863.2307949,143227480.94999996
4,61687877.999649055,57382801.199999966,0.0,1083896572.544788,198247580.34999996
5,99258218.84156042,48037938.000000015,0.0,758749582.4609494,313245382.3749999
6,70327024.564946,26868613.799999997,0.0,1091676082.278772,219282214.82500005
7,99180175.21260892,77499102.59999996,0.0,700149431.9180334,315208838.89999986
8,63863787.81782439,54437591.40000001,0.0,1443087241.3964157,201731413.27499998
9,132385327.52465564,91214080.79999997,0.0,616374172.1025074,416878992.87499946
