Date,AZO_SLP
1887-09-01,1022.8
1887-10-01,1013.1
1887-11-01,1019.2
1887-12-01,1013.6
1888-01-01,1019
1888-02-01,1016.4
1888-03-01,1016.4
1888-04-01,1023.2
1888-05-01,1019.6
1888-06-01,1021.9
1888-07-01,1024.6
1888-08-01,1023.9
1888-09-01,1016
1888-10-01,1014.6
1888-11-01,1023.1
1888-12-01,1021.1
1889-01-01,1027.1
1889-02-01,1028.2
1889-03-01,1021
1889-04-01,1026.8
1889-05-01,1019.5
1889-06-01,1024.7
1889-07-01,1023.2
1889-08-01,1024.4
1889-09-01,1021.6
1889-10-01,1023.8
1889-11-01,1023.9
1889-12-01,1028.8
1890-01-01,1023.8
1890-02-01,1019
1890-03-01,1024
1890-04-01,1025
1890-05-01,1020
1890-06-01,1027.1
1890-07-01,1027.2
1890-08-01,1024.4
1890-09-01,1022.7
1890-10-01,1022.3
1890-11-01,1025.8
1890-12-01,1019.6
1891-01-01,1024.4
1891-02-01,1019.4
1891-03-01,1016.6
1891-04-01,1018.2
1891-05-01,1021.6
1891-06-01,1019
1891-07-01,1020.8
1891-08-01,1024.3
1891-09-01,1023
1891-10-01,1018.3
1891-11-01,1020.2
1891-12-01,1023.6
1892-01-01,1024.2
1892-02-01,1016.7
1892-03-01,1015
1892-04-01,1020.4
1892-05-01,1019.6
1892-06-01,1022.6
1892-07-01,1025.9
1892-08-01,1024
1892-09-01,1023
1892-10-01,1015.5
1892-11-01,1021.8
1892-12-01,1018.4
1893-01-01,1016.3
1893-02-01,1021
1893-03-01,1014
1893-04-01,1018.6
1893-05-01,1017.4
1893-06-01,1018
1893-07-01,1026.4
1893-08-01,1019.4
1893-09-01,1025.5
1893-10-01,1021.6
1893-11-01,1016.6
1893-12-01,1025.4
1894-01-01,1020.6
1894-02-01,1025.5
1894-03-01,1019.7
1894-04-01,1023.9
1894-05-01,1022.4
1894-06-01,1025.5
1894-07-01,1027.2
1894-08-01,1024.4
1894-09-01,1018
1894-10-01,1013
1894-11-01,1021.1
1894-12-01,1022.6
1895-01-01,1018.6
1895-02-01,1001.4
1895-03-01,1022.1
1895-04-01,1017.6
1895-05-01,1021.7
1895-06-01,1024
1895-07-01,1024.4
1895-08-01,1023.2
1895-09-01,1019.5
1895-10-01,1014.1
1895-11-01,1014.7
1895-12-01,1018.3
1896-01-01,1019.8
1896-02-01,1019
1896-03-01,1026.7
1896-04-01,1026.6
1896-05-01,1024.5
1896-06-01,1022.8
1896-07-01,1027.2
1896-08-01,1026.1
1896-09-01,1021.6
1896-10-01,1018.9
1896-11-01,1016.2
1896-12-01,1023.4
1897-01-01,1019.3
1897-02-01,1023
1897-03-01,1022.2
1897-04-01,1024.8
1897-05-01,1020.9
1897-06-01,1022.4
1897-07-01,1022.8
1897-08-01,1024.4
1897-09-01,1024.9
1897-10-01,1014.6
1897-11-01,1020.2
1897-12-01,1021.1
1898-01-01,1022.4
1898-02-01,1022.2
1898-03-01,1018.9
1898-04-01,1021.9
1898-05-01,1019.6
1898-06-01,1019.4
1898-07-01,1023.2
1898-08-01,1022.4
1898-09-01,1018.1
1898-10-01,1016.8
1898-11-01,1019.7
1898-12-01,1018.8
1899-01-01,1014.6
1899-02-01,1008
1899-03-01,1013
1899-04-01,1022.2
1899-05-01,1020.7
1899-06-01,1026.4
1899-07-01,1026.8
1899-08-01,1020.9
1899-09-01,1024.4
1899-10-01,1012.4
1899-11-01,1019.3
1899-12-01,1018.7
1/1/1900,1026.2
2/1/1900,1010.7
3/1/1900,1018.6
4/1/1900,1022.2
5/1/1900,1023.6
6/1/1900,1023.2
7/1/1900,1024.4
8/1/1900,1025.1
9/1/1900,1024.1
10/1/1900,1021
11/1/1900,1025.7
12/1/1900,1020.4
1/1/1901,1018.4
2/1/1901,1013.3
3/1/1901,1016.5
4/1/1901,1021.4
5/1/1901,1017.7
6/1/1901,1025.1
7/1/1901,1026
8/1/1901,1025.2
9/1/1901,1021.5
10/1/1901,1026.4
11/1/1901,1016.1
12/1/1901,1023.4
1/1/1902,1020.9
2/1/1902,1008.5
3/1/1902,1021.4
4/1/1902,1016.5
5/1/1902,1026.1
6/1/1902,1019.6
7/1/1902,1024.2
8/1/1902,1021.5
9/1/1902,1018.9
10/1/1902,1021
11/1/1902,1016.7
12/1/1902,1021.1
1/1/1903,1017.4
2/1/1903,1020.3
3/1/1903,1025.9
4/1/1903,1021.2
5/1/1903,1023.3
6/1/1903,1019.4
7/1/1903,1025.8
8/1/1903,1024.7
9/1/1903,1022.1
10/1/1903,1019.8
11/1/1903,1022.3
12/1/1903,1022.7
1/1/1904,1024.6
2/1/1904,1022.2
3/1/1904,1019.5
4/1/1904,1027.8
5/1/1904,1020.8
6/1/1904,1022.3
7/1/1904,1022.5
8/1/1904,1022.8
9/1/1904,1023.7
10/1/1904,1017.7
11/1/1904,1019.7
12/1/1904,1017.1
1/1/1905,1021.6
2/1/1905,1028.8
3/1/1905,1021
4/1/1905,1019.9
5/1/1905,1024.7
6/1/1905,1022.2
7/1/1905,1024.5
8/1/1905,1025.3
9/1/1905,1023.7
10/1/1905,1019.3
11/1/1905,1023.3
12/1/1905,1015.1
1/1/1906,1023.3
2/1/1906,1028.3
3/1/1906,1019
4/1/1906,1026
5/1/1906,1018.1
6/1/1906,1021.9
7/1/1906,1027.4
8/1/1906,1021.9
9/1/1906,1024.4
10/1/1906,1021
11/1/1906,1020.9
12/1/1906,1028.2
1/1/1907,1026.2
2/1/1907,1026
3/1/1907,1029
4/1/1907,1023.5
5/1/1907,1017
6/1/1907,1025
7/1/1907,1024.6
8/1/1907,1023.5
9/1/1907,1021.1
10/1/1907,1022.2
11/1/1907,1023.5
12/1/1907,1021
1/1/1908,1024.2
2/1/1908,1031.8
3/1/1908,1028.7
4/1/1908,1022
5/1/1908,1022
6/1/1908,1025.8
7/1/1908,1026
8/1/1908,1022.9
9/1/1908,1021.3
10/1/1908,1014.1
11/1/1908,1019.7
12/1/1908,1024.6
1/1/1909,1024
2/1/1909,1019.8
3/1/1909,1016.4
4/1/1909,1020.7
5/1/1909,1018.3
6/1/1909,1026.3
7/1/1909,1028.9
8/1/1909,1024.7
9/1/1909,1020.9
10/1/1909,1024.9
11/1/1909,1014.1
12/1/1909,1011.5
1/1/1910,1027.2
2/1/1910,1028.4
3/1/1910,1024.6
4/1/1910,1019.4
5/1/1910,1026.7
6/1/1910,1025.5
7/1/1910,1025.8
8/1/1910,1024.3
9/1/1910,1020.9
10/1/1910,1019
11/1/1910,1019.1
12/1/1910,1018.2
1/1/1911,1024.5
2/1/1911,1021.5
3/1/1911,1023.4
4/1/1911,1020.3
5/1/1911,1024.4
6/1/1911,1025.6
7/1/1911,1023.8
8/1/1911,1022.5
9/1/1911,1020.9
10/1/1911,1022.4
11/1/1911,1019.7
12/1/1911,1017.5
1/1/1912,1017
2/1/1912,1004.9
3/1/1912,1024.6
4/1/1912,1025.5
5/1/1912,1021.3
6/1/1912,1025.4
7/1/1912,1025.4
8/1/1912,1023.3
9/1/1912,1020.7
10/1/1912,1022.8
11/1/1912,1023.7
12/1/1912,1022.8
1/1/1913,1018.4
2/1/1913,1018.6
3/1/1913,1025.3
4/1/1913,1024.3
5/1/1913,1024.3
6/1/1913,1028
7/1/1913,1025.2
8/1/1913,1025.3
9/1/1913,1021.5
10/1/1913,1015.2
11/1/1913,1025.3
12/1/1913,1022.3
1/1/1914,1017.2
2/1/1914,1020.6
3/1/1914,1026.2
4/1/1914,1021.8
5/1/1914,1027.1
6/1/1914,1028.2
7/1/1914,1025.7
8/1/1914,1024.3
9/1/1914,1022.7
10/1/1914,1019
11/1/1914,1019.3
12/1/1914,1021
1/1/1915,1024
2/1/1915,1023
3/1/1915,1009.3
4/1/1915,1026.6
5/1/1915,1017.7
6/1/1915,1020.7
7/1/1915,1026.5
8/1/1915,1021.1
9/1/1915,1021.7
10/1/1915,1024
11/1/1915,1014.5
12/1/1915,1015
1/1/1916,1025.3
2/1/1916,1027.2
3/1/1916,1013.7
4/1/1916,1022.8
5/1/1916,1022.1
6/1/1916,1022.3
7/1/1916,1025.7
8/1/1916,1021.2
9/1/1916,1022.1
10/1/1916,1024.6
11/1/1916,1018.7
12/1/1916,1010.2
1/1/1917,1017.3
2/1/1917,1017.6
3/1/1917,1019.8
4/1/1917,1016.2
5/1/1917,1016.6
6/1/1917,1026.3
7/1/1917,1025.2
8/1/1917,1024.5
9/1/1917,1023.7
10/1/1917,1026.2
11/1/1917,1026.2
12/1/1917,1022.3
1/1/1918,1005.2
2/1/1918,1027.8
3/1/1918,1021
4/1/1918,1022
5/1/1918,1021.6
6/1/1918,1025.5
7/1/1918,1022.6
8/1/1918,1025.6
9/1/1918,1024.5
10/1/1918,1025.2
11/1/1918,1018.5
12/1/1918,1024.7
1/1/1919,1022.1
2/1/1919,1008.5
3/1/1919,1023.8
4/1/1919,1023.8
5/1/1919,1018.5
6/1/1919,1029.1
7/1/1919,1026.6
8/1/1919,1023.6
9/1/1919,1023.3
10/1/1919,1018.1
11/1/1919,1018.5
12/1/1919,1027.6
1/1/1920,1027.7
2/1/1920,1023.9
3/1/1920,1027.5
4/1/1920,1016.9
5/1/1920,1023.9
6/1/1920,1024
7/1/1920,1028
8/1/1920,1022.5
9/1/1920,1022.9
10/1/1920,1018.4
11/1/1920,1021.4
12/1/1920,1015
1/1/1921,1025.6
2/1/1921,1020.7
3/1/1921,1026.1
4/1/1921,1018.3
5/1/1921,1027.6
6/1/1921,1023.6
7/1/1921,1023.8
8/1/1921,1025.3
9/1/1921,1021.7
10/1/1921,1015.5
11/1/1921,1019.3
12/1/1921,1027.9
1/1/1922,1021.6
2/1/1922,1023.6
3/1/1922,1024.3
4/1/1922,1023.8
5/1/1922,1024.1
6/1/1922,1026.8
7/1/1922,1027.8
8/1/1922,1025.2
9/1/1922,1026.7
10/1/1922,1013.2
11/1/1922,1020.5
12/1/1922,1023.1
1/1/1923,1028.2
2/1/1923,1017.9
3/1/1923,1018.7
4/1/1923,1023.5
5/1/1923,1020.7
6/1/1923,1025.9
7/1/1923,1026.9
8/1/1923,1023.6
9/1/1923,1024.8
10/1/1923,1019.7
11/1/1923,1023.4
12/1/1923,1026.7
1/1/1924,1018.9
2/1/1924,1019.1
3/1/1924,1005.4
4/1/1924,1017.5
5/1/1924,1021.9
6/1/1924,1026.3
7/1/1924,1025.3
8/1/1924,1025.6
9/1/1924,1022.7
10/1/1924,1020.6
11/1/1924,1022.5
12/1/1924,1022.8
1/1/1925,1021.3
2/1/1925,1028
3/1/1925,1019
4/1/1925,1024.7
5/1/1925,1023.2
6/1/1925,1025.4
7/1/1925,1028.4
8/1/1925,1024.4
9/1/1925,1022.1
10/1/1925,1016.4
11/1/1925,1017.4
12/1/1925,1007.8
1/1/1926,1018.9
2/1/1926,1017.4
3/1/1926,1020.7
4/1/1926,1021.2
5/1/1926,1019.5
6/1/1926,1021
7/1/1926,1024.4
8/1/1926,1023.6
9/1/1926,1018.3
10/1/1926,1017.8
11/1/1926,1025.3
12/1/1926,1020.4
1/1/1927,1027.8
2/1/1927,1020.3
3/1/1927,1023.7
4/1/1927,1022.8
5/1/1927,1018
6/1/1927,1025
7/1/1927,1024.2
8/1/1927,1023.2
9/1/1927,1023.5
10/1/1927,1013.5
11/1/1927,1021.4
12/1/1927,1012.1
1/1/1928,1029.3
2/1/1928,1023.6
3/1/1928,1016.2
4/1/1928,1018.6
5/1/1928,1017.3
6/1/1928,1018.7
7/1/1928,1024.6
8/1/1928,1021.7
9/1/1928,1019.6
10/1/1928,1026
11/1/1928,1024.1
12/1/1928,1024
1/1/1929,1010
2/1/1929,1017.4
3/1/1929,1014.1
4/1/1929,1016.7
5/1/1929,1026.7
6/1/1929,1022.6
7/1/1929,1026.2
8/1/1929,1024.4
9/1/1929,1022.5
10/1/1929,1024.9
11/1/1929,1022.1
12/1/1929,1022.6
1/1/1930,1021.8
2/1/1930,1021
3/1/1930,1017
4/1/1930,1021.1
5/1/1930,1025.5
6/1/1930,1025.4
7/1/1930,1023.8
8/1/1930,1022.8
9/1/1930,1020.1
10/1/1930,1020.6
11/1/1930,1021.8
12/1/1930,1025.8
1/1/1931,1023.2
2/1/1931,1029.1
3/1/1931,1005.4
4/1/1931,1022.2
5/1/1931,1021.7
6/1/1931,1021.6
7/1/1931,1027.6
8/1/1931,1022
9/1/1931,1022
10/1/1931,1016.5
11/1/1931,1019.7
12/1/1931,1022
1/1/1932,1021.4
2/1/1932,1012.9
3/1/1932,1015.8
4/1/1932,1026.3
5/1/1932,1021.5
6/1/1932,1023
7/1/1932,1027.6
8/1/1932,1024.4
9/1/1932,1022.4
10/1/1932,1026.2
11/1/1932,1019.7
12/1/1932,1017.5
1/1/1933,1020.4
2/1/1933,1015.9
3/1/1933,1020.2
4/1/1933,1018.4
5/1/1933,1022.8
6/1/1933,1027.2
7/1/1933,1028.2
8/1/1933,1023.9
9/1/1933,1021.9
10/1/1933,1016.4
11/1/1933,1023.1
12/1/1933,1022.4
1/1/1934,1025.2
2/1/1934,1025.1
3/1/1934,1026.9
4/1/1934,1016.6
5/1/1934,1024.5
6/1/1934,1021.6
7/1/1934,1025.8
8/1/1934,1025.9
9/1/1934,1023.3
10/1/1934,1022.2
11/1/1934,1018.1
12/1/1934,1014.7
1/1/1935,1024.1
2/1/1935,1026
3/1/1935,1020.7
4/1/1935,1018.8
5/1/1935,1021.6
6/1/1935,1024.4
7/1/1935,1028.1
8/1/1935,1026
9/1/1935,1023.2
10/1/1935,1028.1
11/1/1935,1022.2
12/1/1935,1018.3
1/1/1936,1010.5
2/1/1936,1010.7
3/1/1936,1014.6
4/1/1936,1020.3
5/1/1936,1023.9
6/1/1936,1024.4
7/1/1936,1027.2
8/1/1936,1025.9
9/1/1936,1018.8
10/1/1936,1026
11/1/1936,1025.9
12/1/1936,1023.1
1/1/1937,1016.4
2/1/1937,1016.7
3/1/1937,1017.3
4/1/1937,1020.6
5/1/1937,1022.7
6/1/1937,1021
7/1/1937,1023.2
8/1/1937,1023.2
9/1/1937,1022
10/1/1937,1019.2
11/1/1937,1010.8
12/1/1937,1020.2
1/1/1938,1026.4
2/1/1938,1017.4
3/1/1938,1024.2
4/1/1938,1015.8
5/1/1938,1025.6
6/1/1938,1025
7/1/1938,1027.6
8/1/1938,1026.4
9/1/1938,1024.5
10/1/1938,1024.9
11/1/1938,1021.7
12/1/1938,1021
1/1/1939,1015.2
2/1/1939,1024.6
3/1/1939,1022.7
4/1/1939,1019.6
5/1/1939,1022.1
6/1/1939,1024.2
7/1/1939,1026
8/1/1939,1024.1
9/1/1939,1017.2
10/1/1939,1021.2
11/1/1939,1024.5
12/1/1939,1017.2
1/1/1940,1013.9
2/1/1940,1011.1
3/1/1940,1014.2
4/1/1940,1020.2
5/1/1940,1018.7
6/1/1940,1025.6
7/1/1940,1028
8/1/1940,1024.3
9/1/1940,1022.4
10/1/1940,1019.2
11/1/1940,1024.2
12/1/1940,1022.3
1/1/1941,1014.7
2/1/1941,1016.6
3/1/1941,1021.1
4/1/1941,1019.3
5/1/1941,1023.9
6/1/1941,1024
7/1/1941,1026.2
8/1/1941,1024.9
9/1/1941,1019.9
10/1/1941,1020.6
11/1/1941,1016
12/1/1941,1023.4
1/1/1942,1027.4
2/1/1942,1013.3
3/1/1942,1009.5
4/1/1942,1019
5/1/1942,1020.9
6/1/1942,1021.4
7/1/1942,1027.2
8/1/1942,1025.7
9/1/1942,1023.9
10/1/1942,1022
11/1/1942,1016.5
12/1/1942,1018.5
1/1/1943,1015.9
2/1/1943,1031.3
3/1/1943,1018.8
4/1/1943,1025.3
5/1/1943,1022.7
6/1/1943,1026.2
7/1/1943,1025.8
8/1/1943,1023.7
9/1/1943,1026.1
10/1/1943,1019.1
11/1/1943,1027.6
12/1/1943,1024.5
1/1/1944,1022
2/1/1944,1023.7
3/1/1944,1012.9
4/1/1944,1018.1
5/1/1944,1023
6/1/1944,1023.6
7/1/1944,1022.3
8/1/1944,1025.1
9/1/1944,1024.1
