,0,1,2,3,4
0,0.0,21484198.800000012,0.0,0.0,0.0
1,0.0,21484198.800000012,0.0,0.0,0.0
2,16976495.691776793,10039127.400000004,1525752719.9999998,185785289.47876406,66102874.70000005
3,16656073.791231854,13552717.800000004,688332599.9999996,185785289.47876406,62688917.15000004
4,17148542.015849587,14322799.200000009,1043067159.9999998,185785289.47876406,65609181.27500004
5,16622447.74344515,14322799.200000009,161366400.0,185785289.47876406,57194162.39999997
6,0.0,21484198.800000012,0.0,0.0,0.0
7,16759920.211703045,14322799.200000009,149889599.99999976,185785289.47876406,56936849.40000006
8,17085147.624567527,10742099.400000006,834205719.9999998,185785289.47876406,64440082.675000034
9,16925985.65737985,10861952.400000004,1868112199.9999998,185785289.47876406,66027160.4250001
