,0,1,2,3,4
0,56746710.83427555,107114081.99999994,0.0,616374172.1025078,177835342.72500002
1,85439965.39092436,92525301.59999996,0.0,923856340.773816,266951426.52499968
2,44448779.839865245,107054107.19999994,0.0,474428371.11731803,136972850.04999995
3,45876324.329592764,106278988.79999997,0.0,494536953.8480339,143227480.94999996
4,61687877.999649055,103543801.19999996,0.0,684717863.2307951,198247580.34999996
5,99258218.84156041,48037937.99999996,0.0,1083896572.5447874,313245382.3749999
6,70327024.56494598,64468590.59999993,0.0,758749582.46095,219282214.82500005
7,98386239.02041286,77049291.6,47568524.28745653,1083896572.5447874,312969486.9076295
8,63863787.81782439,98814085.79999995,0.0,700149431.9180332,201731413.27499998
9,98365323.98464106,63522890.39999993,2189051346.7647257,1083896572.5447874,313245153.1744179
