,0,1,2,3,4
0,50118391.24785512,46503226.19999999,0.0,852254778.5650281,154800417.725
1,78389204.41228549,67118259.60000004,0.0,402826808.9085302,244428301.52499974
2,37235573.242466204,31055244.000000007,0.0,422935391.6392459,114771925.04999994
3,38923994.282430716,32605480.79999999,0.0,613116301.022007,120772305.94999997
4,55064844.96430034,50891225.99999996,0.0,1012295010.3360001,175214005.35
5,92618750.81498913,41137938.0,0.0,687148020.2521616,292007232.37499976
6,63387754.89055888,22903873.8,0.0,1020074520.0699847,197370114.82500008
7,92337734.45392793,71979102.60000001,0.0,628547869.7092457,292072588.8999999
8,57212538.79684824,47615782.20000001,0.0,1371485679.1876285,179656538.27500004
9,125479635.47998866,85716643.80000003,0.0,544772609.8937193,393742742.8749995
