"state_id","county_full","lng","lat","population","SVI"
"LA","Tangipahoa Parish",-90.4057,30.6266,133953,0.4762
"FL","Sumter County",-82.081,28.7048,131832,0.0303
"TX","Wichita County",-98.7035,33.988,129584,0.419
"LA","Rapides Parish",-92.5332,31.1986,129536,0.7143
"LA","Bossier Parish",-93.6049,32.6784,128877,0.3016
"GA","Clarke County",-83.3673,33.9512,128864,0.4177
"LA","Ascension Parish",-90.9113,30.2036,126973,0.0159
"TX","Gregg County",-94.817,32.4805,124245,0.6008
"AL","Morgan County",-86.8529,34.4535,123102,0.4242
"GA","Carroll County",-85.0798,33.5828,120060,0.5
"TX","Tom Green County",-100.4621,31.4044,119276,0.4545
"GA","Fayette County",-84.4943,33.4139,119259,0.0506
"GA","Lowndes County",-83.2677,30.8338,118257,0.5823
"TX","Potter County",-101.8939,35.4013,117905,0.9526
"FL","Flagler County",-81.3136,29.4614,117515,0.0909
"AL","Calhoun County",-85.826,33.7714,116162,0.6515
"GA","Newton County",-83.8502,33.555,113298,0.3924
"TX","Rockwall County",-96.4079,32.8978,110631,0.0198
"GA","Bartow County",-84.8403,34.2377,109410,0.1646
"MS","Madison County",-90.0337,32.6347,109257,0.0494
"LA","Terrebonne Parish",-90.8663,29.4148,108862,0.2857
"AL","Houston County",-85.3025,31.1532,107040,0.5
"AL","Limestone County",-86.9814,34.8101,104199,0.0606
"AL","Etowah County",-86.0348,34.0453,103348,0.3939
"GA","Whitfield County",-84.9672,34.8056,103033,0.6962
"FL","Highlands County",-81.341,27.3433,102339,0.7576
"TX","Hunt County",-96.0855,33.1236,101596,0.6166
"GA","Floyd County",-85.2143,34.2632,98541,0.6392
"TX","Bastrop County",-97.312,30.1036,98435,0.6047
"AL","Marshall County",-86.3066,34.367,97923,0.3485
"GA","Walton County",-83.7339,33.7816,97752,0.1392
"LA","Lafourche Parish",-90.4256,29.5662,97220,0.2222
"AL","Lauderdale County",-87.654,34.9014,94329,0.1515
"GA","Rockdale County",-84.0266,33.6542,93641,0.5696
"TX","Liberty County",-94.8122,30.1516,93523,0.9486
"TX","Bowie County",-94.4234,33.4458,92747,0.5929
"AL","St. Clair County",-86.3146,33.7157,91719,0.0303
"FL","Nassau County",-81.8019,30.6107,91538,0.0152
"TX","Victoria County",-96.9715,28.7964,91209,0.6957
"AL","Cullman County",-86.8676,34.1319,88284,0.197
"AL","Elmore County",-86.1492,32.5966,87694,0.1061
"TX","Angelina County",-94.6119,31.2548,86608,0.9289
"GA","Dougherty County",-84.2164,31.5335,85038,0.962
"TX","Orange County",-93.8939,30.1213,84761,0.2925
"GA","Glynn County",-81.5407,31.2309,84566,0.3671
"GA","Barrow County",-83.7127,33.9932,84399,0.2342
"MS","Lee County",-88.6804,34.2899,83343,0.2346
"TX","Coryell County",-97.7993,31.3909,82927,0.4348
"TX","Henderson County",-95.8536,32.2119,82627,0.5771
"LA","St. Landry Parish",-92.0058,30.5989,82574,0.9048
"FL","Monroe County",-81.1089,25.3192,82044,0.3939
"AL","Talladega County",-86.1659,33.3801,81105,0.8333
"GA","Bulloch County",-81.7432,32.3968,79829,0.4557
"MS","Forrest County",-89.2579,31.1889,77917,0.6173
"TX","Walker County",-95.5723,30.739,77182,0.7154
"GA","Jackson County",-83.5664,34.1339,77033,0.1076
"FL","Walton County",-86.1697,30.6436,76618,0.2576
"FL","Putnam County",-81.7443,29.6087,73604,0.9394
"MS","Lauderdale County",-88.6625,32.4043,72741,0.6667
"AL","DeKalb County",-85.8041,34.4598,71680,0.697
"TX","Wise County",-97.6545,33.2159,70062,0.253
"LA","Iberia Parish",-91.7308,29.8967,69958,0.8413
"FL","Columbia County",-82.6215,30.2242,69832,0.7727
"GA","Troup County",-85.0284,33.0335,69527,0.6203
"TX","Harrison County",-94.3715,32.5481,69098,0.6601
"TX","San Patricio County",-97.5188,28.0092,68942,0.8024
"GA","Walker County",-85.301,34.7356,68065,0.3101
"GA","Catoosa County",-85.1382,34.9036,68052,0.0823
"GA","Spalding County",-84.2841,33.2609,67415,0.5253
"MS","Jones County",-89.1688,31.6225,67152,0.2716
"TX","Starr County",-98.7387,26.5621,65716,0.9921
"GA","Liberty County",-81.4949,31.8282,65550,0.6582
"GA","Effingham County",-81.3414,32.3674,65314,0.0443
"AL","Walker County",-87.2973,33.8033,64978,0.4697
"TX","Nacogdoches County",-94.6159,31.616,64768,0.917
"MS","Lamar County",-89.5087,31.206,64425,0.0864
"TX","Hood County",-97.8323,32.4299,62459,0.1581
"TX","Van Zandt County",-95.8365,32.5637,60053,0.2213
"AL","Blount County",-86.5674,33.9809,59077,0.3636
"AL","Russell County",-85.1849,32.2884,58849,0.8182
"AL","Autauga County",-86.6427,32.5349,58761,0.0152
"MS","Lowndes County",-88.4433,33.4729,58547,0.2222
"TX","Anderson County",-95.6525,31.8133,58077,0.7075
"TX","Maverick County",-100.3145,28.7426,57806,0.9802
"GA","Gordon County",-84.8759,34.5032,57785,0.3987
"LA","Acadia Parish",-92.412,30.2906,57674,0.6032
"TX","Waller County",-95.9876,30.0108,57463,0.6364
"AL","Colbert County",-87.8049,34.7005,57270,0.0909
"LA","Vermilion Parish",-92.3242,29.8465,57202,0.381
"TX","Hardin County",-94.3902,30.3324,56576,0.2964
"MS","Pearl River County",-89.5896,30.7688,56351,0.1481
"MS","Lafayette County",-89.4849,34.3568,56172,0.0247
"GA","Camden County",-81.6699,30.9306,55105,0.2785
"AL","Coffee County",-85.9882,31.4027,53559,0.4545
"TX","Navarro County",-96.4725,32.047,52834,0.9368
"TX","Kerr County",-99.35,30.0615,52810,0.4071
"TX","Rusk County",-94.7618,32.1077,52755,0.4625
"AL","Jackson County",-85.9994,34.7795,52618,0.5909
"LA","St. Charles Parish",-90.3582,29.9055,52191,0.0635
"LA","St. Martin Parish",-91.6083,30.1291,51856,0.2698
