,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,991.908356025591,459.4893353725486
1,0.0,0.0,0.0,1168.2416231601794,0.0,1380.794068033004
2,0.0,0.0,0.0,0.0,1410.761301089615,0.0
3,0.0,0.0,0.0,0.0,1381.1490848772344,0.0
4,0.0,0.0,0.0,0.0,1225.1972488668803,498.05071952483814
5,0.0,1454.5143407315293,857.3386842101459,0.0,0.0,483.03207517078874
6,0.0,1300.056439703157,0.0,1005.5404610715302,0.0,0.0
7,0.0,0.0,0.0,625.1003325739619,1827.044753781599,0.0
8,0.0,0.0,0.0,849.0339863839419,0.0,553.6602945655092
9,0.0,0.0,1065.8810635400632,731.8786104732842,1849.8336323880324,0.0
