,0,1,2,3,4
0,6274690.789929622,5320595.52,277993643.9999998,69015027.3755576,24083189.755
1,6274690.789929622,5320595.52,277993643.9999998,69015027.3755576,24083189.755
2,6274690.789929621,5320595.52,277993643.9999998,69015027.3755576,24083189.755
3,6274690.789929622,5320595.52,277993643.9999998,69015027.3755576,24083189.755
4,6274690.789929622,5320595.52,277993643.9999998,69015027.3755576,24083189.755
5,6274690.789929622,5320595.52,277993643.9999999,69015027.3755576,24083189.755
6,6274690.789929622,5320595.52,277993643.9999999,69015027.3755576,24083189.755
7,6274690.789929622,5320595.52,277993643.9999998,69015027.3755576,24083189.755
8,6274690.789929621,5320595.52,277993643.9999999,69015027.3755576,24083189.755
9,6274690.789929622,5320595.52,277993643.9999999,69015027.3755576,24083189.755
