,0,1,2,3,4
0,30289381.02028835,27585682.499999993,238006474.7024487,331225246.69974214,100476113.47009464
1,30337621.102469884,24667244.76969695,797463487.1359354,331225246.69974214,107317915.88359408
2,30507041.93488185,25535243.999999993,0.0,331225246.69974214,95174575.04999997
3,30404823.369176626,25535243.999999993,33700799.99999988,331225246.69974214,96457255.95000003
4,29707888.711870488,26765555.39999999,357374541.8181812,331225246.69974214,103068431.64057423
5,30170730.876009878,11644743.321212115,1114416079.713651,331225246.69974214,110652439.66086946
6,30711982.047709502,9328263.825117912,490540545.90617955,331225246.69974214,104334946.53572032
7,29971547.71630431,22602807.145454537,1130778919.9999995,331225246.69974214,110292043.84038919
8,30043475.958725,22930532.279923536,383311352.5442233,331225246.69974214,104413384.6683341
9,30200846.394778762,19893226.125195727,1838687601.3253236,331225246.69974214,116896991.90614155
