County,S_Shelter_housedhold,L_Shelter_housedhold,demand
Abbeville,1,3,4
Aiken,4,5,9
Allendale,1,1,2
Anderson,8,22,30
Bamberg,5,5,10
Barnwell,5,7,12
Beaufort,30,46,76
Berkeley,497,720,1217
Calhoun,17,23,40
Charleston,1573,2164,3737
Cherokee,31,40,71
Chester,25,30,55
Chesterfield,5,7,12
Clarendon,47,56,103
Colleton,23,27,50
Darlington,9,12,21
Dillon,0,0,0
Dorchester,389,564,953
Edgefield,2,3,5
Fairfield,27,34,61
Florence,12,18,30
Georgetown,2,3,5
Greenville,108,125,233
Greenwood,7,11,18
Hampton,2,3,5
Horry,0,0,0
Jasper,3,4,7
Kershaw,60,79,139
Lancaster,35,43,78
Laurens,18,21,39
Lee,10,11,21
Lexington,112,145,257
McCormick,0,0,0
Marion,0,0,0
Marlboro,0,0,0
Newberry,11,13,24
Oconee,0,0,0
Orangeburg,121,142,263
Pickens,2,15,17
Richland,467,588,1055
Saluda,6,6,12
Spartanburg,92,117,209
Sumter,96,122,218
Union,13,16,29
Williamsburg,7,8,15
York,98,133,231
