County,S_Shelter_housedhold,L_Shelter_housedhold,demand
Abbeville,0,0,0
Aiken,36,43,79
Allendale,5,6,11
Anderson,0,0,0
Bamberg,14,17,31
Barnwell,14,17,31
Beaufort,54,74,128
Berkeley,1595,2313,3908
Calhoun,18,24,42
Charleston,2928,4146,7074
Cherokee,0,0,0
Chester,0,0,0
Chesterfield,0,0,0
Clarendon,94,122,216
Colleton,59,75,134
Darlington,9,12,21
Dillon,0,0,0
Dorchester,626,908,1534
Edgefield,4,5,9
Fairfield,3,4,7
Florence,46,50,96
Georgetown,330,440,770
Greenville,0,0,0
Greenwood,0,0,0
Hampton,11,13,24
Horry,57,80,137
Jasper,6,9,15
Kershaw,12,14,26
Lancaster,0,0,0
Laurens,0,0,0
Lee,7,8,15
Lexington,84,106,190
McCormick,0,0,0
Marion,3,4,7
Marlboro,0,0,0
Newberry,0,1,1
Oconee,0,0,0
Orangeburg,214,250,464
Pickens,0,0,0
Richland,135,153,288
Saluda,2,4,6
Spartanburg,0,0,0
Sumter,68,83,151
Union,0,0,0
Williamsburg,113,131,244
York,0,0,0
