stage,state,Staging Area Capacity,Inventory Level,obj
0,0,23631.00000000021,23631.00000000021,3709243455.392829
0,1,0.0,0.0,0.0
0,2,0.0,0.0,0.0
0,3,0.0,0.0,0.0
0,4,0.0,0.0,0.0
0,5,0.0,0.0,0.0
0,6,0.0,0.0,0.0
0,7,0.0,0.0,0.0
0,8,0.0,0.0,0.0
1,0,2930.243999999998,2930.243999999998,12373640.644959938
1,1,2623.0409999999997,2623.0409999999997,38430422.72573018
1,2,2481.2550000000006,2481.2550000000006,26081204.578393504
1,3,2504.8860000000004,2504.8860000000004,11084783.002949622
1,4,2693.9339999999993,2693.9339999999993,43584710.79939859
1,5,2623.0409999999997,2623.0409999999997,227888463.9257299
1,6,2599.41,2599.41,110877648.70117404
1,7,2599.41,2599.41,146640298.70117396
1,8,2739.9330000000036,2739.9330000000036,413393552.5594636
2,0,2881.940999999999,2881.940999999999,6745695.569810901
2,1,2819.618999999999,2819.618999999999,33172430.670479387
2,2,2140.344000000003,2140.344000000003,222821764.62071797
2,3,2435.964000000002,2435.964000000002,5569870.755577379
2,4,2872.9049999999993,2872.9049999999993,120397434.74737242
2,5,2695.9049999999993,2695.9049999999993,191163679.12955114
2,6,2160.963000000002,2160.963000000002,21575454.87753967
2,7,3045.851999999998,3045.851999999998,60105225.882842496
2,8,2741.6610000000005,2741.6610000000005,107984875.65441309
3,0,2881.940999999999,1384.3610000000017,226870.79999999958
3,1,2708.994,2708.994,40030269.599999934
3,2,2680.8450000000003,2680.8450000000003,79789055.40000017
3,3,2732.625,1725.4599999999964,1054538.7499999981
3,4,2762.28,2762.28,22499821.600000042
3,5,2570.2200000000003,2570.2200000000003,135547300.80000025
3,6,2524.4640000000013,2524.4640000000013,7914115.399999998
3,7,2455.0770000000016,2455.0770000000016,39448390.0
3,8,2478.708000000001,2478.708000000001,323948239.9999995
