stage,state,Staging Area Capacity,Inventory Level,obj,staging_area_expand_cost,inventory_expand_cost,replenmship_cost,Shortage_cost,acquire_cost,holding_cost
0,0,260002.0,248002.0,30938522497.0,3425668547.0,9853282800.0,15413310500.0,0.0,1389470000.0,856790650.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,260002.0,66292.44202898549,-738803850.0,0.0,-5647408650.0,4196491750.0,0.0,482812250.0,229300800.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,260002.0,141808.0,8162851650.0,0.0,-3307977450.0,9784752000.0,0.0,1196839500.0,489237600.0
1,5,260002.0,66464.0,-1103227350.0,0.0,-5647408650.0,2934880500.0,0.0,1380000000.0,229300800.0
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,260002.0,43703.0,4123350300.0,0.0,-706729050.0,3015507000.0,0.0,1663797000.0,150775350.0
2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,260002.0,141808.0,14039616300.0,0.0,2568787200.0,9784752000.0,0.0,1196839500.0,489237600.0
2,5,260002.0,66464.0,4264913614.1462054,0.0,-279318550.11160713,3279350685.546875,0.0,1035576054.6875,229305424.0234375
