stage,state,Staging Area Capacity,Inventory Level,obj,staging_area_expand_cost,inventory_expand_cost,replenmship_cost,Shortage_cost,acquire_cost,holding_cost
0,0,260002.0,248002.0,30938522497.0,3425668547.0,9853282800.0,14054111751.0,0.0,345636249.0,856790650.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,260002.0,170032.0,7953091650.0,0.0,-2431622250.0,11318208000.0,0.0,2483999999.9999995,586610400.0
1,2,260002.0,66464.0,-738803850.0,0.0,-5647408650.0,4586016000.0,0.0,367287000.0,229300800.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,260002.0,141808.0,8162851650.0,0.0,-3307977450.0,9575724311.320755,0.0,532706688.6792453,489237600.0
1,5,260002.0,66464.00000000001,-1103227350.0,0.0,-5647408650.0,4586016000.000001,0.0,1655999999.9999998,229300800.00000003
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,260002.0,43703.0,4123350299.999999,0.0,-706729050.0000005,3015507000.0,31410180000.0,1656000000.0,150775350.0
2,3,294725.0,288725.0,28357566890.5,495618740.5,9201605400.0,6242016000.0,0.0,0.0,996101250.0
2,4,260002.0,141808.0,14314031620.353983,0.0,2843202520.353982,6468487433.628319,0.0,104284646.01769912,489237600.0
2,5,260002.0,66464.0,4274659687.2871737,0.0,-269521612.7128263,4580220313.280363,8172908240.635641,1698548250.8513052,229300800.0
