stage,state,Staging Area Capacity,Inventory Level,obj,staging_area_expand_cost,inventory_expand_cost,replenmship_cost,Shortage_cost,acquire_cost,holding_cost
0,0,26193.000000000004,26193.000000000004,2806749988.9082036,2619300000.0000005,26193000.000000004,24333000.0,0.0,600000.0,1309650.0000000002
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,26193.000000000004,26193.000000000004,130736606.37292336,0.0,0.0,0.0,0.0,0.0,1309650.0000000002
1,1,26193.000000000004,26193.000000000004,155303606.37292328,0.0,0.0,24369000.0,0.0,198000.0,1309650.0000000002
1,2,26193.000000000004,26193.000000000004,146294606.37292328,0.0,0.0,14658000.0,0.0,900000.0,1309650.0000000002
1,3,26193.000000000004,26193.000000000004,149234606.37292328,0.0,0.0,17782000.0,0.0,716000.0,1309650.0000000002
1,4,26193.000000000004,26193.000000000004,153749606.37292346,0.0,0.0,21813000.0,0.0,1200000.0,1309650.0000000002
1,5,26193.000000000004,26193.000000000004,3920702606.3729243,0.0,0.0,26193000.000000004,3762399999.9999995,1373000.0,1309650.0000000002
1,6,26193.000000000004,26193.000000000004,145212606.37292328,0.0,0.0,14476000.0,0.0,0.0,1309650.0000000002
1,7,26193.000000000004,26193.000000000004,1927329606.3729243,0.0,0.0,26193000.000000004,1768599999.9999998,1800000.0,1309650.0000000002
1,8,26193.000000000004,26193.000000000004,5795129606.372924,0.0,0.0,26193000.000000004,5636399999.999999,1800000.0,1309650.0000000002
2,0,26193.000000000004,26193.000000000004,47081402.74242595,0.0,0.0,432000.0,0.0,0.0,1309650.0000000002
2,1,26193.000000000004,26193.000000000004,659268402.7424245,0.0,0.0,26193000.000000004,584999999.9999999,1426000.0,1309650.0000000002
2,2,26193.000000000004,26193.000000000004,3180742402.7424297,0.0,0.0,26193000.000000004,3106099999.9999995,1800000.0,1309650.0000000002
2,3,26193.000000000004,26193.000000000004,46674402.742425054,0.0,0.0,25000.0,0.0,0.0,1309650.0000000002
2,4,26193.000000000004,26193.000000000004,64145402.74242504,0.0,0.0,17129000.0,0.0,367000.0,1309650.0000000002
2,5,26193.000000000004,26193.000000000004,2213442402.7424297,0.0,0.0,26193000.000000004,2138799999.9999998,1800000.0,1309650.0000000002
2,6,26193.000000000004,26193.000000000004,61118402.74242593,0.0,0.0,14169000.0,0.0,300000.0,1309650.0000000002
2,7,26193.000000000004,26193.000000000004,787142402.7424252,0.0,0.0,26193000.000000004,712499999.9999999,1800000.0,1309650.0000000002
2,8,26193.000000000004,26193.000000000004,973174402.7424271,0.0,0.0,26147000.000000004,899099999.9999999,1278000.0,1309650.0000000002
3,0,26193.000000000004,26193.000000000004,28402650.0,0.0,0.0,26193000.0,0.0,900000.0,1309650.0000000002
3,1,26193.000000000004,26193.000000000004,154202649.99999955,0.0,0.0,26193000.000000004,124899999.99999946,1800000.0,1309650.0000000002
3,2,26193.000000000004,26193.000000000004,1064102649.9999999,0.0,0.0,26193000.000000004,1034799999.9999999,1800000.0,1309650.0000000002
3,3,26193.000000000004,26193.000000000004,12927650.0,0.0,0.0,11618000.0,0.0,0.0,1309650.0000000002
3,4,26193.000000000004,26193.000000000004,3129650.0000000005,0.0,0.0,1176000.0,0.0,644000.0,1309650.0000000002
3,5,26193.000000000004,26193.000000000004,979502649.9999999,0.0,0.0,26193000.000000004,950199999.9999999,1800000.0,1309650.0000000002
3,6,26193.000000000004,26193.000000000004,18357650.0,0.0,0.0,16448000.0,0.0,600000.0,1309650.0000000002
3,7,26193.000000000004,26193.000000000004,1324102649.9999998,0.0,0.0,26193000.000000004,1294799999.9999998,1800000.0,1309650.0000000002
3,8,26193.000000000004,26193.000000000004,24288650.0,0.0,0.0,22504000.0,0.0,475000.0,1309650.0000000002
