,0,1,2,3,4,5,6,7,8,9
0,2755.0,2755.0,2755.0,2755.0,2755.0,2755.0,2755.0,2755.0,2755.0,2755.0
1,2169.0,2191.0,2110.0,2185.0,2201.0,2244.0,2159.0,2255.0,2253.0,2234.0
2,1628.0,1633.0,1544.0,1604.0,1616.0,1693.0,1506.0,1647.0,1716.0,1655.0
3,1111.0,1133.0,970.0,972.0,1101.0,1163.0,931.0,1088.0,1112.0,1128.0
4,572.0,544.0,411.0,485.0,545.0,615.0,347.0,447.0,541.0,593.0
5,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,92.0
