stage,state,Staging Area Capacity,Inventory Level,obj
0,0,11296.000000000002,11296.000000000002,2357062742.7522163
0,1,0.0,0.0,0.0
0,2,0.0,0.0,0.0
0,3,0.0,0.0,0.0
0,4,0.0,0.0,0.0
0,5,0.0,0.0,0.0
0,6,0.0,0.0,0.0
0,7,0.0,0.0,0.0
0,8,0.0,0.0,0.0
1,0,11296.000000000002,11296.000000000002,17736706.646753527
1,1,11296.000000000002,11296.000000000002,21163706.646753516
1,2,11296.000000000002,11296.000000000002,23155706.646753497
1,3,11296.000000000002,11296.000000000002,27559706.646753483
1,4,11296.000000000002,11296.000000000002,27185706.646753315
1,5,11296.000000000002,11296.000000000002,1407659706.646756
1,6,11296.000000000002,11296.000000000002,4239059706.524964
1,7,11296.000000000002,11296.000000000002,4311459706.646746
1,8,11296.000000000002,11296.000000000002,5067959706.646743
2,0,5648.000000000001,0.0,217402.4580902034
2,1,5648.000000000001,3436.0,4121651.7310204967
2,2,5648.000000000001,5648.000000000001,3541579432.3765316
2,3,5648.000000000001,150.5,1268561.1006094543
2,4,5648.000000000001,3054.0,4187087.189494562
2,5,5648.000000000001,5648.000000000001,1352885441.0412931
2,6,5648.000000000001,0.0,384902.4580902032
2,7,5648.000000000001,5648.000000000001,1093335441.0412936
2,8,5648.000000000001,4630.5,5819607.282420594
3,0,1366816.0000000002,0.0,-35131700.0
3,1,1366816.0000000002,0.0,-35852050.0
3,2,1197376.0000000002,357962.0,639825850.0
3,3,994048.0000000001,620752.0,958213250.0
3,4,1412000.0000000002,847750.0,1324318300.0
3,5,1129600.0000000002,1129600.0000000002,88565630999.99998
3,6,1332928.0000000002,1332928.0,155567848000.0
3,7,1129600.0000000002,1039600.0000000001,208620972999.99997
3,8,1366816.0000000002,1257916.0000000002,126666514999.99998
