,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9414634146341463,1.0,0.9899175068744271,-1.0,1.0,1.0,0.8840579710144928,0.8333333333333334,0.8571428571428571,-1.0,0.9787985865724381,-1.0,1.0,0.84,0.8813559322033898,-1.0,-1.0,-1.0,0.8620689655172413,-1.0,0.8292682926829268,0.8,-1.0,0.92,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.918918918918919,-1.0,0.8367346938775511,-1.0,-1.0,0.8368794326241135,-1.0,0.8679245283018868,0.979381443298969
2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7959349593495935,1.0,0.8281393217231897,-1.0,1.0,1.0,0.9855072463768116,0.8333333333333334,0.8571428571428571,-1.0,0.7491166077738516,-1.0,1.0,0.84,0.8813559322033898,-1.0,-1.0,-1.0,0.8620689655172413,-1.0,0.8292682926829268,0.8,-1.0,0.92,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.918918918918919,-1.0,0.8367346938775511,-1.0,-1.0,0.8368794326241135,-1.0,0.8679245283018868,0.7319587628865979
