,0,1,2,3,4
0,56746710.83427555,77423608.31999995,0.0,616374172.1025074,177835342.72500002
1,76180142.51087762,64698733.19999995,162078720.00000036,827147261.1671424,243314946.52499962
2,44448779.839865245,77363633.51999997,0.0,474428371.1173177,136972850.04999995
3,45876324.329592764,76588515.11999997,0.0,494536953.84803355,143227480.94999996
4,61687877.99964904,73853327.51999994,0.0,684717863.230795,198247580.34999996
5,75516056.72840773,35376954.11999999,430296720.0000007,827147261.1671424,250493777.37499973
6,70327024.56494598,34778116.91999997,0.0,758749582.4609493,219282214.82500005
7,74889735.6599801,58375410.35999997,443334720.00000066,827147261.1671424,250555858.89999986
8,63863787.81782439,69123612.11999993,0.0,700149431.9180334,201731413.27499998
9,75805168.64449568,50811997.43999999,1070249712.0000007,827147261.1671424,262311823.01499975
