,0,1,2,3,4
0,37345120.745932415,34392652.55999998,229138440.00000036,408050357.6763475,121408895.225
1,37351870.38427899,31349867.09999998,783027360.0000001,408050357.6763475,131459711.075
2,37235573.242466204,31659294.839999966,0.0,402826808.90853024,114771925.04999994
3,37356537.70868893,31457944.55999998,24946440.0000002,408050357.6763475,117158583.44999993
4,36515149.01214252,33332388.899999976,347741484.00000024,408050357.6763475,124557255.89250006
5,36985113.45593257,13962361.139999993,1102740240.0000007,408050357.6763475,134707458.52499986
6,37490616.559491955,12272896.139999995,480870924.0,408050357.6763475,126471223.8174999
7,36610045.77488699,27950467.559999984,1119106440.0,408050357.6763475,135134407.6750001
8,37040215.89024501,29951651.09999998,373677444.0000005,408050357.6763475,125679413.3925
9,37102562.55203375,23446277.279999986,1825275280.0000002,408050357.6763475,140543083.29999998
