"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE","HRCN_HLRR"
"Grimes County","TX",-95.9855,30.5435,29442,0.668,"Grimes","County","Relatively High"
"Gulf County","FL",-85.2263,29.9565,15002,0.2424,"Gulf","County","Very High"
"Hamilton County","FL",-82.9479,30.4964,13492,0.9545,"Hamilton","County","Relatively High"
"Hancock County","MS",-89.489,30.4165,46010,0.037,"Hancock","County","Very High"
"Hardee County","FL",-81.81,27.4927,25528,0.9697,"Hardee","County","Relatively High"
"Hardin County","TX",-94.3902,30.3324,56576,0.2964,"Hardin","County","Relatively High"
"Harris County","TX",-95.3938,29.8578,4726177,0.834,"Harris","County","Relatively High"
"Harrison County","MS",-89.116,30.5122,208748,0.5679,"Harrison","County","Very High"
"Hendry County","FL",-81.1659,26.5535,39902,0.9848,"Hendry","County","Relatively High"
"Henry County","AL",-85.2414,31.5147,17282,0.3333,"Henry","County","Relatively High"
"Hernando County","FL",-82.424,28.5537,196621,0.3333,"Hernando","County","Relatively High"
"Hidalgo County","TX",-98.1812,26.3969,873167,0.9763,"Hidalgo","County","Relatively High"
"Highlands County","FL",-81.341,27.3433,102339,0.7576,"Highlands","County","Relatively High"
"Hillsborough County","FL",-82.3088,27.9292,1468560,0.6667,"Hillsborough","County","Relatively High"
"Holmes County","FL",-85.814,30.8679,19529,0.5455,"Holmes","County","Very High"
"Houston County","AL",-85.3025,31.1532,107040,0.5,"Houston","County","Relatively High"
"Houston County","TX",-95.4227,31.3177,22107,0.7787,"Houston","County","Relatively High"
"Iberia Parish","LA",-91.7308,29.8967,69958,0.8413,"Iberia","Parish","Relatively High"
"Iberville Parish","LA",-91.3495,30.2586,30210,0.6984,"Iberville","Parish","Very High"
"Indian River County","FL",-80.6064,27.6943,160986,0.1667,"Indian River","County","Very High"
"Issaquena County","MS",-90.9892,32.7415,1206,0.9012,"Issaquena","County","Very High"
"Jackson County","FL",-85.2155,30.7954,47704,0.5,"Jackson","County","Relatively High"
"Jackson County","MS",-88.6358,30.5425,143721,0.3704,"Jackson","County","Very High"
"Jackson County","TX",-96.5776,28.9542,15010,0.5692,"Jackson","County","Very High"
"Jasper County","MS",-89.1189,32.0191,16320,0.1358,"Jasper","County","Relatively High"
"Jasper County","TX",-94.0251,30.744,33032,0.6561,"Jasper","County","Relatively High"
"Jefferson County","FL",-83.8953,30.4375,14458,0.4242,"Jefferson","County","Relatively High"
"Jefferson County","TX",-94.1629,29.8841,254942,0.8617,"Jefferson","County","Very High"
"Jefferson Davis County","MS",-89.823,31.5697,11291,0.5556,"Jefferson Davis","County","Relatively High"
"Jefferson Davis Parish","LA",-92.8141,30.2677,32277,0.0952,"Jefferson Davis","Parish","Very High"
"Jefferson Parish","LA",-90.1276,29.7882,436171,0.5397,"Jefferson","Parish","Relatively High"
"Jim Wells County","TX",-98.0899,27.7314,39060,0.9012,"Jim Wells","County","Very High"
