"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE"
"Hyde County","NC",-76.2517,35.5306,4636,0.8081,"Hyde","County"
"Indian River County","FL",-80.6064,27.6943,160986,0.1667,"Indian River","County"
"Jackson County","FL",-85.2155,30.7954,47704,0.5,"Jackson","County"
"Jackson County","NC",-83.1408,35.2876,42388,0.6162,"Jackson","County"
"Jasper County","SC",-81.0317,32.4375,29444,0.6889,"Jasper","County"
"Jefferson County","FL",-83.8953,30.4375,14458,0.4242,"Jefferson","County"
"Jones County","NC",-77.3552,35.0217,9263,0.5455,"Jones","County"
"Kershaw County","SC",-80.5902,34.3388,65779,0.0222,"Kershaw","County"
"Lafayette County","FL",-83.1811,29.9855,8107,0.8333,"Lafayette","County"
"Lake County","FL",-81.7113,28.7615,386829,0.2727,"Lake","County"
"Lee County","FL",-81.8332,26.578,772902,0.4394,"Lee","County"
"Lee County","NC",-79.1715,35.4752,63560,0.7879,"Lee","County"
"Lee County","SC",-80.2545,34.1633,16557,0.9333,"Lee","County"
"Lenoir County","NC",-77.6413,35.2388,55071,1,"Lenoir","County"
"Leon County","FL",-84.2779,30.458,294128,0.4091,"Leon","County"
"Levy County","FL",-82.7434,29.3184,43268,0.5152,"Levy","County"
"Lexington County","SC",-81.2722,33.9023,295934,0.0889,"Lexington","County"
"Liberty County","FL",-84.8829,30.2413,7704,0.6515,"Liberty","County"
"Macon County","NC",-83.4222,35.1505,37088,0.303,"Macon","County"
"Madison County","FL",-83.4701,30.4441,17986,0.6364,"Madison","County"
"Manatee County","FL",-82.3153,27.4719,405069,0.303,"Manatee","County"
"Marion County","FL",-82.0567,29.2102,378225,0.6212,"Marion","County"
"Marion County","SC",-79.3625,34.0801,29212,0.7333,"Marion","County"
"Marlboro County","SC",-79.6786,34.602,26585,0.7556,"Marlboro","County"
"Martin County","FL",-80.4315,27.0775,159399,0.1212,"Martin","County"
"Martin County","NC",-77.1092,35.8432,21992,0.798,"Martin","County"
"McCormick County","SC",-82.3099,33.8995,9612,0.2889,"McCormick","County"
"Miami-Dade County","FL",-80.5624,25.615,2688237,0.8939,"Miami-Dade","County"
"Mitchell County","NC",-82.1636,36.0133,14989,0.3232,"Mitchell","County"
"Monroe County","FL",-81.1089,25.3192,82044,0.3939,"Monroe","County"
"Montgomery County","NC",-79.9055,35.3325,25839,0.7071,"Montgomery","County"
"Moore County","NC",-79.4814,35.3106,100759,0.0707,"Moore","County"
"Nash County","NC",-77.9864,35.9673,95015,0.7475,"Nash","County"
"Nassau County","FL",-81.8019,30.6107,91538,0.0152,"Nassau","County"
"New Hanover County","NC",-77.8848,34.2329,228134,0.202,"New Hanover","County"
"Newberry County","SC",-81.6001,34.2898,37918,0.4667,"Newberry","County"
"Northampton County","NC",-77.3969,36.4178,17528,0.7576,"Northampton","County"
"Oconee County","SC",-83.0659,34.7535,78775,0.3333,"Oconee","County"
"Okaloosa County","FL",-86.5917,30.6913,212021,0.2121,"Okaloosa","County"
"Okeechobee County","FL",-80.8886,27.3864,39870,0.9242,"Okeechobee","County"
"Onslow County","NC",-77.4322,34.7322,203686,0.5657,"Onslow","County"
"Orange County","FL",-81.3235,28.5144,1427403,0.8182,"Orange","County"
"Orangeburg County","SC",-80.8003,33.439,84159,0.7778,"Orangeburg","County"
"Osceola County","FL",-81.1495,28.0626,393745,0.7424,"Osceola","County"
"Palm Beach County","FL",-80.4655,26.6476,1494805,0.803,"Palm Beach","County"
"Pamlico County","NC",-76.7407,35.1434,12317,0.3434,"Pamlico","County"
"Pasco County","FL",-82.392,28.3092,569211,0.3636,"Pasco","County"
"Pasquotank County","NC",-76.2843,36.2955,40454,0.5253,"Pasquotank","County"
"Pender County","NC",-77.9052,34.5249,61592,0.3131,"Pender","County"
"Perquimans County","NC",-76.4411,36.2059,13053,0.3737,"Perquimans","County"
"Pinellas County","FL",-82.7255,27.9198,959918,0.3182,"Pinellas","County"
"Pitt County","NC",-77.3745,35.5933,171196,0.7374,"Pitt","County"
"Polk County","FL",-81.6976,27.9489,736229,0.8485,"Polk","County"
"Polk County","NC",-82.1697,35.2793,19538,0.0606,"Polk","County"
"Putnam County","FL",-81.7443,29.6087,73604,0.9394,"Putnam","County"
"Randolph County","NC",-79.806,35.7103,144403,0.4747,"Randolph","County"
"Richland County","SC",-80.9031,34.0218,416161,0.5333,"Richland","County"
"Richmond County","NC",-79.7479,35.0059,43149,0.9394,"Richmond","County"
"Robeson County","NC",-79.1039,34.6402,117573,0.9899,"Robeson","County"
"Rutherford County","NC",-81.9198,35.4026,64680,0.6566,"Rutherford","County"
"Saluda County","SC",-81.7268,34.0061,18952,0.5778,"Saluda","County"
"Sampson County","NC",-78.3714,34.9916,59317,0.9091,"Sampson","County"
"Santa Rosa County","FL",-87.0219,30.7004,188994,0.0606,"Santa Rosa","County"
"Sarasota County","FL",-82.3315,27.1845,439392,0.0758,"Sarasota","County"
"Scotland County","NC",-79.4804,34.8409,34222,0.9798,"Scotland","County"
"Seminole County","FL",-81.2363,28.717,471321,0.1515,"Seminole","County"
"St. Johns County","FL",-81.4407,29.9016,278722,0,"St. Johns","County"
"St. Lucie County","FL",-80.4721,27.3773,334682,0.5909,"St. Lucie","County"
"Stanly County","NC",-80.251,35.3119,62723,0.3838,"Stanly","County"
"Sumter County","FL",-82.081,28.7048,131832,0.0303,"Sumter","County"
"Sumter County","SC",-80.3822,33.9162,105199,0.6,"Sumter","County"
"Surry County","NC",-80.688,36.4146,71429,0.6768,"Surry","County"
"Suwannee County","FL",-82.9915,30.1956,43881,0.6818,"Suwannee","County"
"Swain County","NC",-83.4928,35.4868,14130,0.8182,"Swain","County"
"Taylor County","FL",-83.6035,30.047,21421,0.5303,"Taylor","County"
"Transylvania County","NC",-82.7982,35.2021,33131,0.2525,"Transylvania","County"
"Tyrrell County","NC",-76.209,35.8172,3389,0.7273,"Tyrrell","County"
"Union County","FL",-82.3714,30.0439,15524,0.4848,"Union","County"
"Union County","SC",-81.6191,34.6895,27158,0.7111,"Union","County"
"Vance County","NC",-78.4079,36.3649,42492,0.9293,"Vance","County"
"Volusia County","FL",-81.1819,29.0584,558520,0.3485,"Volusia","County"
"Wakulla County","FL",-84.4007,30.1673,33732,0.0455,"Wakulla","County"
"Walton County","FL",-86.1697,30.6436,76618,0.2576,"Walton","County"
"Warren County","NC",-78.1067,36.3965,18803,0.9495,"Warren","County"
"Washington County","FL",-85.6653,30.6106,25014,0.5758,"Washington","County"
"Washington County","NC",-76.5775,35.8225,11051,0.7677,"Washington","County"
"Watauga County","NC",-81.6964,36.2311,54540,0.2121,"Watauga","County"
"Wayne County","NC",-78.004,35.364,117480,0.8889,"Wayne","County"
"Wilkes County","NC",-81.163,36.2062,66125,0.5556,"Wilkes","County"
"Williamsburg County","SC",-79.7277,33.6199,30879,0.9778,"Williamsburg","County"
"Wilson County","NC",-77.9187,35.7051,78667,0.8687,"Wilson","County"
"Yancey County","NC",-82.3076,35.8989,18538,0.2828,"Yancey","County"
