"year","Time","Latitude","Longitude","Max.Winds","SS","RMW","Central","States","Storm","month"
1939,"2300Z",27.2,-80.2,65,1,"---","-987","CFL1","---------------",8
1940,"2000Z",32.1,-80.8,85,2,"25","972","SC2, GA1","---------------",8
1941,"1000Z",25.5,-80.2,85,2,"10","980","CFL2,BFL1","---------------",10
1941,"1100Z",25.5,-80.3,85,2,"10","980","CFL2,BFL1","---------------",10
1944,"2300Z",33.9,-78.1,70,1,"10","985","NC1","---------------",8
1944,"1300Z",35.2,-75.3,90,2,"15","940","NC2,VA2","""Great Atlantic""",9
1945,"1930Z",25.3,-80.3,115,4,"10","949","CFL4,BFL2,DFL1","---------------",9
1945,"2000Z",25.4,-80.4,115,4,"10","949","CFL4,BFL2,DFL1","---------------",9
1947,"1630Z",26.1,-80.1,115,4,"15","943","CFL4,BFL2","---------------",9
1947,"0200Z",25.4,-81.2,80,1,"---","975","BFL1,CFL1","---------------",10
1947,"1100Z",31.8,-80.9,90,2,"15","-965","GA2,SC2","---------------",10
1948,"0500Z",25.8,-81.3,115,4,"10","940","BFL4,CFL2","---------------",9
1948,"1800Z",24.7,-81.2,90,2,"15","-963","BFL2,CFL2","---------------",10
1949,"1200Z",34.3,-76.1,70,1,"25","977","NC1","---------------",8
1949,"2300Z",26.6,-80,115,4,"20","954","CFL4,BFL1,AFL1,DFL1,GA1","---------------",8
1950,"0500Z",25.7,-80.2,115,4,"5","955","CFL4,DFL1","King",10
1952,"0300Z",32.3,-80.6,85,2,"---","-980","SC2","Able",8
1953,"0300Z",35,-76.1,80,1,"---","-975","NC1","Barbara",8
1953,"0500Z",35.4,-76.1,75,1,"---","-978","NC1","Barbara",8
1954,"0300Z",35.4,-75.1,75,1,"25","960","NC1","Carol",8
1954,"0300Z",34.9,-74.4,65,1,"15","943","NC1","Edna",9
1954,"1530Z",33.9,-78.6,115,4,"20","938","SC4,NC4","Hazel",10
1955,"1500Z",34.7,-76.7,85,2,"30","962","NC2,VA1","Connie",8
1955,"1100Z",34.7,-76.7,90,2,"25","955","NC2","Ione",9
1958,"1800Z",33.9,-77.6,110,3,"20","938","NC3","Helene",9
1959,"0400Z",33,-79.6,65,1,"20","995","SC1","Cindy",7
1959,"1700Z",32.5,-80.4,115,4,"10","951","SC4","Gracie",9
1960,"0700Z",24.8,-80.9,125,4,"20","930","BFL4,CFL4","Donna",9
1960,"0400Z",34.6,-77.3,90,2,"50","958","NC2,VA1","Donna",9
1964,"0800Z",25.8,-80.1,95,2,"10","968","CFL2","Cleo",8
1964,"0600Z",29.9,-81.3,95,2,"5","966","DFL2","Dora",9
1964,"2100Z",25.8,-81.4,90,2,"20","970","BFL2, CFL1","Isbell",10
1965,"1100Z",25,-80.5,100,3,"30","952","BFL3, CFL3","Betsy",9
1966,"1800Z",25,-80.5,85,2,"15","984","CFL2","Inez",10
1966,"2300Z",24.7,-81.3,85,2,"20","988","BFL2","Inez",10
1968,"0600Z",34.3,-76.6,65,1,"10","985","NC1","Gladys",10
1984,"0700Z",33.9,-78,95,2,"15","979","NC2","Diana",9
1985,"0300Z",32.2,-80.5,65,1,"20","1003","SC1","Bob",7
1985,"0530Z",35.2,-75.6,90,2,"15","942","NC3","Gloria",9
1986,"1400Z",34.7,-76.5,65,1,"15","990","NC1","Charley",8
1987,"2100Z",25.1,-80.5,65,1,"10","993","BFL","Floyd",10
1989,"0400Z",32.8,-79.8,120,4,"20","934","SC4,INC1","Hugo",9
1992,"0905Z",25.5,-80.3,145,5,"10","922","CFL5,BFL4","Andrew",8
1993,"2100Z",35.2,-75.1,100,3,"30","961","NC3","Emily",8
1995,"0615Z",27.7,-80.3,75,1,"40","984","CFL1","Erin",8
1996,"2000Z",34.3,-77.8,90,2,"40","974","NC2","Betha",7
1996,"0030Z",33.9,-78,100,3,"40","954","NC3","Fran",9
1998,"0400Z",34.4,-77.7,95,2,"60","964","NC2","Bonnie",8
1999,"0630Z",33.8,-78,90,2,"35","956","NC2","Floyd",9
1999,"2000Z",25.3,-81.1,70,1,"40","987","BFL1","Irene",10
1999,"0600Z",34.8,-75.2,95,2,"30","964","NC2","Irene",10
2003,"1700Z",34.9,-76.2,90,2,"40","957","NC2","Isabel",9
2004,"1700Z",35.1,-75.4,70,1,"15","972","NC1","Alex",8
2004,"1400Z",33,-79.4,70,1,"20","992","SC1","Charley",8
2004,"1600Z",33.8,-78.7,65,1,"20","997","SC1","Charley",8
2004,"0430Z",27.2,-80.2,90,2,"30","960","CFL2,BFL1","Frances",9
2004,"1400Z",33,-79.6,65,1,"10","985","SC1","Gaston",8
2004,"0400Z",27.2,-80.2,105,3,"45","950","CFL3,BFL1,AFL1","Jeanne",9
2005,"2230Z",26,-80.1,70,1,"15","984","CFL1,BFL1","Katrina",8
2005,"0600Z",34.5,-76.3,65,1,"---","982","NC1","Ophelia",9
2011,"1200Z",34.7,-76.6,75,1,"45","952","NC1","Irene",8
2014,"0315Z",34.7,-76.6,85,2,"20","973","NC2","Arthur",7
2014,"0800Z",35.8,-75.5,85,2,"15","973","NC2","Arthur",7
2016,"1500Z",33,-79.5,85,2,"---","963","DFL2, GA1, SC1, NC1","Matthew",10
2018,"1115Z",34.2,-77.8,80,1,"25","956","NC1","Florence",9
2019,"1230Z",35.2,-75.6,85,2,"20","956","NC2","Dorian",9
2020,"0310Z",33.9,-78.5,80,1,"25","986","SC1,NC1","Isaias",8
2022,"1805Z",33.3,-79.2,70,1,"40","978","SC1","Ian",9
