disasterNumber,county,state,type1,type2,event_name,event_title,SS_scale2,SS_scale,year,longitude,latitude,wind_34_down,wind_34_50,wind_50_64,wind_64_up,node1,node2,node3,node4,node5,node6,node7,node8,node9,SVI,population,homeownership_rate,hwm,wind_50_up,homeowner_rate,occupied_house,homeowner_occupied,type1,type2,assisstance_rate_type1,assisstance_rate_type2
4394,Georgetown County,SC,15,5,2,HURRICANE FLORENCE,0,0,2018,-79.3324,33.4343,1,6,2,0,89.3171489,82.01560126,57.71237673,38.64646178,16.05627567,13.0312407,25.46708573,44.61364241,74.23241295,0.6771,62232,75.49261,6.86,2,75.49261,"27,231",20557.39263,15,5,0.000729665,0.000243222
4394,Horry County,SC,367,570,2,HURRICANE FLORENCE,0,0,2018,-78.9966,33.9214,0,6,3,0,61.90698634,55.69461353,30.12252049,9.893277384,20.17102038,31.72444697,44.5626394,63.17557121,92.18429021,0.6102,344105,68.87653,5.2,3,68.87653,"150,221",103467.0121,367,570,0.003547024,0.005509002
4394,Marion County,SC,105,114,2,HURRICANE FLORENCE,0,0,2018,-79.3625,34.0801,0,6,3,0,78.08245374,72.82605122,48.19150861,30.05745199,23.06371246,29.66929603,36.19951225,50.81445564,77.36754866,0.9293,31056,69.78358,6.79,3,69.78358,"12,272",8563.840938,105,114,0.012260854,0.013311784
4394,Marlboro County,SC,55,46,2,HURRICANE FLORENCE,0,0,2018,-79.6786,34.602,0,9,0,0,96.27052944,93.29599583,73.09038771,60.72471738,57.40694406,60.89336522,60.54317741,65.59470394,82.12996047,0.9869,26392,64.56947,2.91,0,64.56947,"10,241",6612.559423,55,46,0.008317506,0.006956459
4393,Anson County,NC,3,1,2,HURRICANE FLORENCE,1,1,2018,-80.1027,34.9738,2,7,0,0,123.0973126,121.0746059,102.6957865,91.32164991,86.327918,87.85150252,83.95095348,82.7348898,89.56167768,0.9443,24470,66.63542,5.98,0,66.63542,"8,554",5699.993827,3,1,0.000526316,0.000175439
4393,Beaufort County,NC,46,25,2,HURRICANE FLORENCE,1,1,2018,-76.8598,35.494,5,2,2,0,90.57560224,98.28896836,117.7103124,135.5709975,161.9049251,173.3614589,184.8186238,200.787718,225.8815978,0.7156,47056,70.3009,4.62,2,70.3009,"19,430",13659.46487,46,25,0.003367628,0.001830233
4393,Bladen County,NC,133,92,2,HURRICANE FLORENCE,1,1,2018,-78.5637,34.6146,0,4,3,2,45.34593126,45.19088107,37.83380701,44.53778416,66.06983918,76.76568031,86.64828626,101.7591885,126.9327348,0.9446,33151,71.20935,11.42,5,71.20935,"12,410",8837.080335,133,92,0.01505022,0.010410678
4393,Brunswick County,NC,243,210,2,HURRICANE FLORENCE,1,1,2018,-78.2377,34.071,1,3,3,2,23.1206032,16.90488938,9.143525394,29.8567818,57.51893173,69.10462624,82.99757325,102.0015347,131.0491749,0.3583,136880,77.84835,10.38,5,77.84835,"61,496",47873.62132,243,210,0.005075864,0.004386549
4393,Carteret County,NC,327,196,2,HURRICANE FLORENCE,1,1,2018,-76.6589,34.8357,4,3,1,1,68.23288164,75.76573698,99.90163931,120.2216145,147.9149347,159.5789589,172.915777,191.0603119,218.8426996,0.4255,69438,72.96847,4.2,2,72.96847,"30,112",21972.26569,327,196,0.014882398,0.008920336
4393,Chatham County,NC,4,2,2,HURRICANE FLORENCE,1,1,2018,-79.2553,35.7026,3,6,0,0,115.3375213,117.2523084,110.7166351,110.6791753,120.4176798,126.9873001,129.2473246,134.7652565,147.6955934,0.3809,73127,75.85383,0,0,75.85383,"31,288",23733.14633,4,2,0.000168541,8.43E-05
4393,Columbus County,NC,216,176,2,HURRICANE FLORENCE,1,1,2018,-78.655,34.2656,0,3,3,3,42.68041394,38.8470236,20.39630532,23.13552566,46.79943925,58.11936022,69.73690718,86.83525336,114.2310202,0.9481,55819,72.02356,5.84,6,72.02356,"20,368",14669.7587,216,176,0.014724169,0.011997471
4393,Craven County,NC,434,503,2,HURRICANE FLORENCE,1,1,2018,-77.0939,35.1249,4,3,1,1,65.65883384,73.39952327,93.5676523,112.0972418,138.9583746,150.5362708,162.5965032,179.3381794,205.4893715,0.8099,102338,63.02079,6.95,2,63.02079,"40,932",25795.66976,434,503,0.016824529,0.019499397
4393,Cumberland County,NC,140,75,2,HURRICANE FLORENCE,1,1,2018,-78.8277,35.0487,1,6,2,0,72.03043815,73.22565542,66.51223785,69.07411981,84.40322758,93.27342116,99.57940082,110.5789312,131.049464,0.864,333430,53.13829,8.9,2,53.13829,"128,978",68536.70368,140,75,0.002042701,0.001094304
4393,Duplin County,NC,168,388,2,HURRICANE FLORENCE,1,1,2018,-77.933,34.9365,2,4,1,2,44.76564457,50.31739996,60.87511909,75.70968743,100.6638732,111.8792197,122.7177106,138.3505069,163.5336777,0.979,58991,68.8348,10,3,68.8348,"19,195",13212.83986,168,388,0.012714905,0.029365375
4393,Durham County,NC,10,5,2,HURRICANE FLORENCE,1,1,2018,-78.8766,36.036,5,4,0,0,122.4191536,125.921346,124.6339368,128.4729202,141.9855074,149.649822,153.3789478,160.3547446,174.5206359,0.6197,316979,55.98222,0,0,55.98222,"134,653",75381.7387,10,5,0.000132658,6.63E-05
4393,Greene County,NC,2,0,2,HURRICANE FLORENCE,1,1,2018,-77.6758,35.485,3,4,2,0,77.49757001,83.99941535,96.17987946,110.3090743,134.0777474,144.9203314,154.6156242,168.7141742,191.7624114,0.9924,21106,69.95161,1.96,2,69.95161,"6,984",4885.420442,2,0,0.000409381,0
4393,Guilford County,NC,6,2,2,HURRICANE FLORENCE,1,1,2018,-79.7889,36.0795,9,0,0,0,149.4222239,150.9807686,142.4882097,139.7900427,145.0735415,149.7487239,149.0699109,150.4422699,157.1933856,0.6369,532607,60.89053,0,0,60.89053,"216,022",131536.9407,6,2,4.56E-05,1.52E-05
4393,Harnett County,NC,51,21,2,HURRICANE FLORENCE,1,1,2018,-78.8693,35.3688,1,8,0,0,87.89313543,90.066793,85.50060793,88.37157036,102.5713332,110.8383831,115.9106033,125.1248457,143.0410044,0.7869,134336,62.83905,2.2,0,62.83905,"48,083",30214.90041,51,21,0.001687909,0.000695021
4393,Hoke County,NC,18,10,2,HURRICANE FLORENCE,1,1,2018,-79.2373,35.0175,0,9,0,0,86.44911131,86.17702039,73.90989035,70.5950913,79.26992225,86.2135111,89.68478187,97.71338138,115.2568875,0.8924,54695,69.03151,0,0,69.03151,"18,590",12832.95771,18,10,0.001402638,0.000779244
4393,Hyde County,NC,18,5,2,HURRICANE FLORENCE,1,1,2018,-76.2509,35.5305,6,3,0,0,110.6209747,118.4103011,140.4656073,159.6087559,186.7210923,198.3363233,210.556474,227.3368473,253.3242782,0.8627,5026,61.41832,0,0,61.41832,"1,804",1107.986493,18,5,0.016245685,0.00451269
4393,Johnston County,NC,13,0,2,HURRICANE FLORENCE,1,1,2018,-78.3657,35.5178,2,7,0,0,83.99783611,88.28398365,91.26669493,99.60286791,118.6614734,128.2468413,135.4097262,146.7651885,166.7831535,0.5395,202692,70.98368,8,0,70.98368,"79,053",56114.72855,13,0,0.000231668,0
4393,Jones County,NC,88,193,2,HURRICANE FLORENCE,1,1,2018,-77.3552,35.0217,3,3,2,1,54.08183608,61.62905013,80.3239762,98.36959093,125.015283,136.5576849,148.4678811,165.1035668,191.2138161,0.8761,9613,70.31968,6.55,3,70.31968,"3,873",2723.481206,88,193,0.032311587,0.070865185
4393,Lee County,NC,13,4,2,HURRICANE FLORENCE,1,1,2018,-79.1715,35.4752,1,8,0,0,102.2609736,103.8100472,96.53251603,96.46592763,106.9153036,113.905603,116.9551042,123.7083814,138.6104842,0.8481,61208,66.74834,0,0,66.74834,"24,575",16403.40456,13,4,0.000792518,0.000243852
4393,Lenoir County,NC,40,25,2,HURRICANE FLORENCE,1,1,2018,-77.6412,35.2388,3,3,2,1,62.94427258,69.65081133,83.40357428,98.83891504,123.7639376,134.9223918,145.4920159,160.6492597,185.0503066,0.9933,55990,58.75814,5.12,3,58.75814,"22,930",13473.2415,40,25,0.002968848,0.00185553
4393,Moore County,NC,17,28,2,HURRICANE FLORENCE,1,1,2018,-79.4814,35.3106,1,8,0,0,106.560797,106.7966408,95.22749641,91.26261057,97.24627107,102.8463465,104.0477288,108.8362151,121.8548947,0.3621,98805,76.30551,4.82,0,76.30551,"41,881",31957.51064,17,28,0.000531956,0.000876163
4393,New Hanover County,NC,266,241,2,HURRICANE FLORENCE,1,1,2018,-77.8847,34.2328,1,4,2,2,4.649715081,8.02020303,29.21863312,49.78230066,77.49813726,89.11624425,102.8491576,121.6131383,150.3346361,0.3771,232256,59.93818,5.67,4,59.93818,"98,109",58804.74902,266,241,0.004523444,0.004098308
4393,Onslow County,NC,363,260,2,HURRICANE FLORENCE,1,1,2018,-77.4321,34.7321,2,4,1,2,36.82261754,44.52736902,65.14881504,84.35695567,111.682374,123.3405418,136.0342498,153.5833336,180.8193748,0.7465,196915,54.54368,8.04,3,54.54368,"69,576",37949.3108,363,260,0.009565391,0.006851244
4393,Orange County,NC,6,3,2,HURRICANE FLORENCE,1,1,2018,-79.1207,36.0611,5,4,0,0,129.3652842,132.3139462,128.8924426,130.8831168,142.2257135,149.1415423,151.7113519,157.2539787,169.5821801,0.2959,147980,64.4917,0,0,64.4917,"57,059",36798.3191,6,3,0.000163051,8.15E-05
4393,Pamlico County,NC,87,68,2,HURRICANE FLORENCE,1,1,2018,-76.7407,35.1435,5,2,2,0,77.20572349,85.00118984,107.1118241,126.4625869,153.747664,165.3953744,177.9123594,195.1190433,221.7560542,0.7162,12633,75.72783,5.92,2,75.72783,"5,193",3932.546212,87,68,0.022123071,0.017291596
4393,Pender County,NC,301,501,2,HURRICANE FLORENCE,1,1,2018,-77.9051,34.5248,1,4,2,2,20.21177505,25.54046552,40.00201311,58.22779912,85.32026118,96.95746163,109.533195,127.0995236,154.5228802,0.5478,62017,80.59345,7.02,4,80.59345,"22,962",18505.86799,301,501,0.016265111,0.027072494
4393,Pitt County,NC,11,1,2,HURRICANE FLORENCE,1,1,2018,-77.3745,35.5933,4,3,2,0,86.35335423,93.44660146,108.344797,123.7805165,148.4039452,159.4458492,169.604747,184.1418733,207.5824477,0.8242,179575,54.27434,0,2,54.27434,"70,016",38000.72189,11,1,0.000289468,2.63E-05
4393,Richmond County,NC,17,5,2,HURRICANE FLORENCE,1,1,2018,-79.7479,35.006,1,8,0,0,107.8844547,106.4819205,90.09696103,81.42130071,81.60366971,85.42127013,84.56908189,87.46033088,99.37338424,0.9796,44888,66.35657,8.7,0,66.35657,"17,454",11581.87573,17,5,0.001467811,0.000431709
4393,Robeson County,NC,369,156,2,HURRICANE FLORENCE,1,1,2018,-79.1039,34.6402,0,4,5,0,69.8712748,67.99855823,51.99005056,46.9927967,57.36077241,65.57105372,71.49258548,82.98743811,105.0553873,0.9911,131884,65.87819,5.45,5,65.87819,"43,402",28592.45202,369,156,0.012905504,0.005455985
4393,Sampson County,NC,86,40,2,HURRICANE FLORENCE,1,1,2018,-78.3714,34.9916,1,4,2,2,55.35870878,58.46561756,59.63237754,68.98183197,90.30078608,100.7045938,109.6980135,123.4796338,146.7899123,0.9723,63345,69.17912,11.32,4,69.17912,"22,562",15608.19305,86,40,0.005509927,0.002562757
4393,Scotland County,NC,71,43,2,HURRICANE FLORENCE,1,1,2018,-79.4804,34.8409,0,9,0,0,91.7219948,90.10899444,73.66595982,65.87728969,69.17459299,74.60995318,76.27649699,82.7362407,99.34118156,0.9936,34751,61.87896,5.09,0,61.87896,"12,870",7963.822152,71,43,0.008915317,0.005399417
4393,Union County,NC,6,3,2,HURRICANE FLORENCE,1,1,2018,-80.5307,34.9884,8,1,0,0,143.2094555,140.7915543,121.1467167,107.9078418,98.64911825,97.91802861,91.01921361,85.07194317,84.53615785,0.1873,235830,80.08553,0,0,80.08553,"80,167",64202.16684,6,3,9.35E-05,4.67E-05
4393,Wayne County,NC,55,30,2,HURRICANE FLORENCE,1,1,2018,-78.004,35.364,2,4,3,0,70.70153655,76.16588956,84.30875608,96.42209677,118.859085,129.3927655,138.4464538,151.9476493,174.4763915,0.9503,123237,61.61243,9,3,61.61243,"45,997",28339.86943,55,30,0.001940729,0.001058579
4393,Wilson County,NC,3,4,2,HURRICANE FLORENCE,1,1,2018,-77.9187,35.7051,3,6,0,0,90.67626011,96.50389977,105.2253294,116.9179349,138.5339162,148.7668713,157.0716921,169.5365358,190.5677221,0.936,81392,57.87284,0,0,57.87284,"32,222",18647.7865,3,4,0.000160877,0.000214503
4332,Aransas County,TX,814,781,3,HURRICANE HARVEY,3,4,2017,-96.9934,28.1249,1,5,1,2,8.996608521,7.23253883,38.18767055,59.02137386,68.10152746,77.55035941,64.43281098,53.7305905,41.85476077,0.6727,25392,72.14661,4.5,3,72.14661,"10,236",7384.927,814,781,0.110224515,0.105755954
4332,Austin County,TX,25,38,3,HURRICANE HARVEY,3,4,2017,-96.2779,29.887,3,6,0,0,118.0735502,110.2430662,89.24410071,83.29142508,71.76585842,77.60416766,79.55121542,71.93275591,70.84753792,0.5422,29722,74.10893,7.59,0,74.10893,"11,618",8609.975487,25,38,0.002903609,0.004413485
4332,Bastrop County,TX,34,24,3,HURRICANE HARVEY,3,4,2017,-97.312,30.1036,7,2,0,0,128.3094511,114.9854222,84.38754519,67.07356646,54.51914155,50.59963634,61.13203141,66.6070849,82.82953516,0.7437,84585,77.41977,6.399,0,77.41977,"33,267",25755.23489,34,24,0.00132012,0.000931849
4332,Bee County,TX,47,10,3,HURRICANE HARVEY,3,4,2017,-97.7412,28.4174,3,5,1,0,51.14594839,36.36868536,28.83483328,37.2638522,50.36665757,53.5807066,42.96211197,45.17979275,54.74365545,0.9201,32592,67.08815,0,1,67.08815,"8,896",5968.161824,47,10,0.007875122,0.001675558
4332,Brazoria County,TX,1265,2685,3,HURRICANE HARVEY,3,4,2017,-95.4521,29.1897,3,6,0,0,104.6761561,105.3208945,101.5777966,108.1863566,102.2327134,112.867002,107.6664606,92.52932513,74.65084771,0.5186,361853,75.85325,11.85,0,75.85325,"127,464",96685.58658,1265,2685,0.013083646,0.027770427
4332,Caldwell County,TX,13,12,3,HURRICANE HARVEY,3,4,2017,-97.6199,29.8368,9,0,0,0,116.7459697,102.1302669,70.37403634,50.69918284,39.97590656,32.2894831,44.73917699,54.90448968,75.71322127,0.8793,42328,69.10649,5.37,0,69.10649,"15,010",10372.88415,13,12,0.001253268,0.001156862
4332,Calhoun County,TX,229,91,3,HURRICANE HARVEY,3,4,2017,-96.602,28.5067,0,6,2,1,34.30818043,32.15935666,38.63195243,55.85510344,59.18626359,70.94793557,59.24849055,43.27826558,20.49525528,0.8395,21712,70.10539,3.95,3,70.10539,"7,614",5337.824395,229,91,0.042901374,0.017048144
4332,Chambers County,TX,320,1106,3,HURRICANE HARVEY,3,4,2017,-94.6101,29.7384,9,0,0,0,159.547658,160.322726,154.3251618,157.7806176,149.5694178,158.6206578,156.1240057,142.7672188,127.9544655,0.2907,41269,82.10065,7.5,0,82.10065,"15,623",12826.58455,320,1106,0.024948185,0.086227163
4332,Colorado County,TX,21,60,3,HURRICANE HARVEY,3,4,2017,-96.5263,29.6208,2,7,0,0,99.4117966,90.59781816,68.66235702,63.23402088,52.28554551,59.4213902,59.86127671,51.38413093,51.39450265,0.6218,21291,82.12687,6.9,0,82.12687,"8,138",6683.484681,21,60,0.003142073,0.008977353
4332,DeWitt County,TX,31,20,3,HURRICANE HARVEY,3,4,2017,-97.3568,29.0821,1,6,2,0,69.38554259,54.73591276,23.16580889,9.000908576,7.442357198,18.29060179,7.599768135,9.606680268,33.84989591,0.7988,20180,74.07427,0,2,74.07427,"7,315",5418.532851,31,20,0.005721106,0.003691036
4332,Fayette County,TX,30,168,3,HURRICANE HARVEY,3,4,2017,-96.9198,29.8768,2,7,0,0,112.8390574,101.2540767,73.50479562,60.84019038,47.81754964,49.66997664,55.70400653,54.71705406,65.04155024,0.3095,25119,78.74621,5.85,0,78.74621,"10,162",8002.18986,30,168,0.003748974,0.020994253
4332,Fort Bend County,TX,864,3880,3,HURRICANE HARVEY,3,4,2017,-95.7709,29.5275,3,6,0,0,109.4261154,106.1428241,94.47381152,96.07152949,87.59969098,96.76181041,94.21542734,81.38549664,69.51107747,0.2725,767712,79.26165,12.08,0,79.26165,"263,128",208559.5944,864,3880,0.004142701,0.018603795
4332,Galveston County,TX,1519,4070,3,HURRICANE HARVEY,3,4,2017,-94.9635,29.3945,6,3,0,0,132.1239629,133.5152925,129.7039807,135.213778,128.2790461,138.2795959,134.2255323,119.7460036,102.8830677,0.5696,334633,69.30513,6.53,0,69.30513,"132,819",92050.38061,1519,4070,0.016501833,0.044214918
4332,Goliad County,TX,56,9,3,HURRICANE HARVEY,3,4,2017,-97.4265,28.6571,0,7,1,1,48.34225709,32.45295602,7.153423671,20.97566056,32.66921825,39.71400399,26.9070578,23.8182316,34.12814929,0.6568,7552,81.2095,0,2,81.2095,"2,815",2286.047425,56,9,0.02449643,0.003936926
4332,Gonzales County,TX,15,8,3,HURRICANE HARVEY,3,4,2017,-97.4925,29.4567,4,4,1,0,92.98101088,78.33048393,46.60399956,27.45987491,16.17659835,10.9759056,21.44860666,31.45467787,53.67842628,0.9634,20742,68.24809,6.32,1,68.24809,"7,275",4965.048548,15,8,0.003021118,0.001611263
4332,Grimes County,TX,24,27,3,HURRICANE HARVEY,3,4,2017,-95.9855,30.5435,6,3,0,0,160.2588332,152.5099792,130.3941145,121.8882151,109.3684753,112.5418326,117.3496693,112.3721042,113.1249619,0.8672,27955,77.15943,0,0,77.15943,"10,133",7818.565042,24,27,0.003069617,0.003453319
4332,Hardin County,TX,295,1181,3,HURRICANE HARVEY,3,4,2017,-94.3902,30.3324,9,0,0,0,192.4013055,191.3848098,181.1151639,181.1212899,171.1864651,178.5551304,178.47118,167.2107751,156.0917318,0.2178,57117,81.44545,14.25,0,81.44545,"21,616",17605.24847,295,1181,0.016756367,0.067082268
4332,Harris County,TX,9736,25019,3,HURRICANE HARVEY,3,4,2017,-95.3936,29.8578,6,3,0,0,136.9557422,134.0853737,121.8142077,121.7552399,112.1585586,120.1354924,119.2832551,107.7315174,97.35513987,0.702,4657972,58.25091,9.63,0,58.25091,"1,692,730",986030.6288,9736,25019,0.009873933,0.025373451
4332,Jackson County,TX,23,4,3,HURRICANE HARVEY,3,4,2017,-96.5776,28.9542,0,7,2,0,59.84351341,53.07220268,41.00341961,48.59090352,45.66850134,57.57817724,49.27525877,32.85023432,14.93408131,0.6492,14806,66.96072,13,2,66.96072,"5,558",3721.676818,23,4,0.00618001,0.001074784
4332,Jasper County,TX,150,155,3,HURRICANE HARVEY,3,4,2017,-94.0251,30.744,9,0,0,0,223.3672026,222.0030062,210.5452605,209.2936114,198.7579151,205.3275184,206.268917,195.9169952,186.0755873,0.7975,35549,73.68863,7.04,0,73.68863,"13,050",9616.366215,150,155,0.015598408,0.016118355
4332,Jefferson County,TX,1339,6394,3,HURRICANE HARVEY,3,4,2017,-94.1629,29.8841,9,0,0,0,183.2036869,184.6056739,179.2230002,182.615001,174.2314168,183.0782067,180.8740728,167.6522231,152.7956337,0.8555,256041,64.70536,7.86,0,64.70536,"95,658",61895.85327,1339,6394,0.021633113,0.103302558
4332,Karnes County,TX,16,5,3,HURRICANE HARVEY,3,4,2017,-97.8594,28.9057,1,7,1,0,74.40816239,58.38017092,31.96018261,19.73850698,29.93314563,27.34278468,22.21658646,35.14896532,56.14572884,0.873,15556,74.44279,0,1,74.44279,"4,594",3419.901773,16,5,0.004678497,0.00146203
4332,Kleberg County,TX,25,3,3,HURRICANE HARVEY,3,4,2017,-97.7273,27.4337,7,2,0,0,55.65799165,56.87742462,79.43358014,94.93350143,107.5943697,112.4048646,100.8992001,98.2223121,95.73376561,0.985,30752,56.59012,0,0,56.59012,"11,530",6524.840836,25,3,0.003831511,0.000459781
4332,Lavaca County,TX,8,3,3,HURRICANE HARVEY,3,4,2017,-96.9302,29.3843,2,5,2,0,83.24011535,71.76059098,45.50090914,37.79091437,27.01041518,35.46656115,34.43282449,27.09840553,35.78818136,0.6145,20028,75.29661,12,2,75.29661,"8,191",6167.545325,8,3,0.001297112,0.000486417
4332,Lee County,TX,12,8,3,HURRICANE HARVEY,3,4,2017,-96.9657,30.3107,6,3,0,0,138.9633645,127.0917767,98.40307626,83.59794193,70.51819281,69.18911339,77.95188123,79.74506071,91.23653939,0.6129,17109,78.67778,4.16,0,78.67778,"6,590",5184.865702,12,8,0.002314428,0.001542952
4332,Liberty County,TX,711,1131,3,HURRICANE HARVEY,3,4,2017,-94.8122,30.1516,9,0,0,0,169.6000214,167.886521,156.795233,156.6587322,146.7771793,154.2852817,154.0332978,142.7573376,132.0071243,0.9357,83597,76.27845,9,0,76.27845,"29,469",22478.49643,711,1131,0.031630229,0.050314753
4332,Matagorda County,TX,121,122,3,HURRICANE HARVEY,3,4,2017,-96.011,28.8212,2,7,0,0,68.1715219,68.58993798,68.3246867,79.09642538,76.49763185,88.32597014,80.09810837,63.49103083,41.58294017,0.8583,36805,66.42987,6.5,0,66.42987,"13,716",9111.520969,121,122,0.01327989,0.013389642
4332,Montgomery County,TX,686,1304,3,HURRICANE HARVEY,3,4,2017,-95.503,30.3002,6,3,0,0,156.5338169,151.5214563,134.520483,130.3689413,119.0740457,124.8346229,126.8132851,118.1996669,112.8520193,0.3992,571615,73.84146,8.62,0,73.84146,"219,796",162300.5754,686,1304,0.004226726,0.008034476
