"","Year","Category","Next_Category","Count","Transition_Prob"
"1",2024,1,1,9856,0.992947813822285
"2",2024,1,2,70,0.00705218617771509
"3",2024,2,1,73,0.986486486486487
"4",2024,2,2,1,0.0135135135135135
"5",2025,1,1,9865,0.99355423506899
"6",2025,1,2,64,0.00644576493101017
"7",2025,2,1,71,1
"8",2026,1,1,9854,0.991747181964573
"9",2026,1,2,82,0.00825281803542673
"10",2026,2,1,64,1
"11",2027,1,1,9843,0.992437991530551
"12",2027,1,2,75,0.00756200846944949
"13",2027,2,1,82,1
"14",2028,1,1,9839,0.991335012594458
"15",2028,1,2,86,0.00866498740554156
"16",2028,2,1,74,0.986666666666667
"17",2028,2,2,1,0.0133333333333333
"18",2029,1,1,9862,0.994855240593161
"19",2029,1,2,51,0.0051447594068395
"20",2029,2,1,87,1
"21",2030,1,1,9884,0.993466680068349
"22",2030,1,2,65,0.00653331993165142
"23",2030,2,1,51,1
"24",2031,1,1,9862,0.992652239557121
"25",2031,1,2,73,0.00734776044287871
"26",2031,2,1,64,0.984615384615385
"27",2031,2,2,1,0.0153846153846154
"28",2032,1,1,9856,0.992947813822285
"29",2032,1,2,70,0.00705218617771509
"30",2032,2,1,74,1
"31",2033,1,1,9851,0.992044310171198
"32",2033,1,2,79,0.00795568982880161
"33",2033,2,1,70,1
"34",2034,1,1,9839,0.991734704162887
"35",2034,1,2,82,0.00826529583711319
"36",2034,2,1,79,1
"37",2035,1,1,9843,0.992437991530551
"38",2035,1,2,75,0.00756200846944949
"39",2035,2,1,82,1
"40",2036,1,1,9868,0.994256926952141
"41",2036,1,2,57,0.00574307304785894
"42",2036,2,1,74,0.986666666666667
"43",2036,2,2,1,0.0133333333333333
"44",2037,1,1,9875,0.993260913297123
"45",2037,1,2,67,0.00673908670287668
"46",2037,2,1,57,0.982758620689655
"47",2037,2,2,1,0.0172413793103448
"48",2038,1,1,9869,0.993656866693516
"49",2038,1,2,63,0.00634313330648409
"50",2038,2,1,68,1
"51",2039,1,1,9868,0.993056254402737
"52",2039,1,2,69,0.00694374559726276
"53",2039,2,1,63,1
"54",2040,1,1,9878,0.994663175913805
"55",2040,1,2,53,0.00533682408619474
"56",2040,2,1,68,0.985507246376812
"57",2040,2,2,1,0.0144927536231884
"58",2041,1,1,9884,0.993766338226423
"59",2041,1,2,62,0.00623366177357732
"60",2041,2,1,54,1
"61",2042,1,1,9876,0.993761320185148
"62",2042,1,2,62,0.00623867981485208
"63",2042,2,1,62,1
"64",2043,1,1,9888,0.994968806600926
"65",2043,1,2,50,0.00503119339907426
"66",2043,2,1,62,1
"67",2044,1,1,9874,0.992361809045226
"68",2044,1,2,76,0.00763819095477387
"69",2044,2,1,50,1
"70",2045,1,1,9857,0.993248690044337
"71",2045,1,2,67,0.00675130995566304
"72",2045,2,1,75,0.986842105263158
"73",2045,2,2,1,0.0131578947368421
"74",2046,1,1,9867,0.993455497382199
"75",2046,1,2,65,0.00654450261780105
"76",2046,2,1,68,1
"77",2047,1,1,9880,0.99446401610468
"78",2047,1,2,55,0.00553598389531958
"79",2047,2,1,64,0.984615384615385
"80",2047,2,2,1,0.0153846153846154
"81",2048,1,1,9886,0.994167337087691
"82",2048,1,2,58,0.00583266291230893
"83",2048,2,1,56,1
"84",2049,1,1,9885,0.994266747133374
"85",2049,1,2,57,0.00573325286662643
"86",2049,2,1,58,1
"87",2050,1,1,9904,0.996077642562607
"88",2050,1,2,39,0.00392235743739314
"89",2050,2,1,57,1
"90",2051,1,1,9911,0.994980423652244
"91",2051,1,2,50,0.00501957634775625
"92",2051,2,1,38,0.974358974358974
"93",2051,2,2,1,0.0256410256410256
"94",2052,1,1,9900,0.995074881897678
"95",2052,1,2,49,0.00492511810232184
"96",2052,2,1,51,1
"97",2053,1,1,9909,0.995779318661441
"98",2053,1,2,42,0.00422068133855894
"99",2053,2,1,49,1
