"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE"
"Crenshaw County","AL",-86.3136,31.7315,13205,0.4394,"Crenshaw","County"
"Crockett County","TX",-101.412,30.7231,2949,0.2372,"Crockett","County"
"Cullman County","AL",-86.8676,34.1319,88284,0.197,"Cullman","County"
"Dale County","AL",-85.611,31.4318,49455,0.6364,"Dale","County"
"Dallas County","AL",-87.1065,32.326,38326,0.8485,"Dallas","County"
"DeKalb County","AL",-85.8041,34.4598,71680,0.697,"DeKalb","County"
"Delta County","TX",-95.6723,33.3863,5278,0.087,"Delta","County"
"DeSoto County","FL",-81.8095,27.1864,34258,1,"DeSoto","County"
"DeWitt County","TX",-97.3568,29.0821,19826,0.581,"DeWitt","County"
"Dimmit County","TX",-99.7566,28.4226,8672,0.996,"Dimmit","County"
"Dixie County","FL",-83.1587,29.6086,16737,0.5606,"Dixie","County"
"Donley County","TX",-100.814,34.9654,3298,0.1146,"Donley","County"
"Duval County","FL",-81.6715,30.3313,995708,0.697,"Duval","County"
"Duval County","TX",-98.5089,27.6814,9960,0.9407,"Duval","County"
"East Baton Rouge Parish","LA",-91.0956,30.5383,454369,0.5238,"East Baton Rouge","Parish"
"East Carroll Parish","LA",-91.235,32.7325,7371,0.8571,"East Carroll","Parish"
"East Feliciana Parish","LA",-91.0455,30.8451,19452,0.2381,"East Feliciana","Parish"
"Eastland County","TX",-98.8323,32.3271,17812,0.4901,"Eastland","County"
"Edwards County","TX",-100.3048,29.9827,1380,0.5889,"Edwards","County"
"Erath County","TX",-98.2179,32.2363,42788,0.4585,"Erath","County"
"Escambia County","AL",-87.1615,31.1262,36755,0.7576,"Escambia","County"
"Escambia County","FL",-87.363,30.669,321296,0.6061,"Escambia","County"
"Evangeline Parish","LA",-92.4059,30.7289,32335,0.9841,"Evangeline","Parish"
"Falls County","TX",-96.9359,31.2533,17013,0.83,"Falls","County"
"Fannin County","TX",-96.1069,33.5938,36052,0.2451,"Fannin","County"
"Fayette County","AL",-87.7388,33.7212,16297,0.6061,"Fayette","County"
"Fayette County","TX",-96.9198,29.8768,24564,0.1502,"Fayette","County"
"Fisher County","TX",-100.4022,32.7428,3680,0.1225,"Fisher","County"
"Flagler County","FL",-81.3136,29.4614,117515,0.0909,"Flagler","County"
"Floyd County","TX",-101.3032,34.0724,5386,0.6996,"Floyd","County"
"Foard County","TX",-99.778,33.9746,1075,0.336,"Foard","County"
"Forrest County","MS",-89.2579,31.1889,77917,0.6173,"Forrest","County"
"Fort Bend County","TX",-95.7709,29.5275,832607,0.1542,"Fort Bend","County"
"Franklin County","AL",-87.8437,34.4417,32011,0.6667,"Franklin","County"
"Franklin County","FL",-84.8137,29.8766,12276,0.7879,"Franklin","County"
"Franklin County","MS",-90.8979,31.4772,7690,0.1605,"Franklin","County"
"Franklin County","TX",-95.2184,33.1755,10445,0.0632,"Franklin","County"
"Franklin Parish","LA",-91.6738,32.1333,19752,0.5714,"Franklin","Parish"
