"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE"
"Victoria County","TX",-96.9715,28.7964,91209,0.6957,"Victoria","County"
"Volusia County","FL",-81.1819,29.0584,558520,0.3485,"Volusia","County"
"Wakulla County","FL",-84.4007,30.1673,33732,0.0455,"Wakulla","County"
"Walker County","TX",-95.5723,30.739,77182,0.7154,"Walker","County"
"Waller County","TX",-95.9876,30.0108,57463,0.6364,"Waller","County"
"Walthall County","MS",-90.1061,31.1484,13888,0.5802,"Walthall","County"
"Walton County","FL",-86.1697,30.6436,76618,0.2576,"Walton","County"
"Warren County","MS",-90.852,32.3573,44341,0.3457,"Warren","County"
"Washington County","AL",-88.2079,31.4076,15434,0.0455,"Washington","County"
"Washington County","FL",-85.6653,30.6106,25014,0.5758,"Washington","County"
"Washington County","MS",-90.9474,33.2839,44604,0.9877,"Washington","County"
"Washington County","TX",-96.4034,30.2145,35807,0.2253,"Washington","County"
"Washington Parish","LA",-90.0405,30.8533,45514,0.9365,"Washington","Parish"
"Wayne County","MS",-88.6958,31.6408,19760,0.7037,"Wayne","County"
"Webster County","MS",-89.2848,33.6131,9942,0.0988,"Webster","County"
"West Baton Rouge Parish","LA",-91.3127,30.4636,27377,0.1429,"West Baton Rouge","Parish"
"West Carroll Parish","LA",-91.4568,32.7885,9800,0.254,"West Carroll","Parish"
"West Feliciana Parish","LA",-91.42,30.8798,15358,0.1746,"West Feliciana","Parish"
"Wharton County","TX",-96.2221,29.2779,41614,0.8379,"Wharton","County"
"Wilcox County","AL",-87.3082,31.9893,10441,1,"Wilcox","County"
"Wilkinson County","MS",-91.3109,31.1611,8531,0.5309,"Wilkinson","County"
"Willacy County","TX",-97.6632,26.4693,20308,0.9644,"Willacy","County"
"Winn Parish","LA",-92.6369,31.9442,13665,0.3968,"Winn","Parish"
"Winston County","AL",-87.3737,34.1492,23655,0.5606,"Winston","County"
"Winston County","MS",-89.0344,33.0885,17741,0.3951,"Winston","County"
"Wood County","TX",-95.3821,32.7864,45341,0.3953,"Wood","County"
"Young County","TX",-98.6878,33.1766,17903,0.2174,"Young","County"
"Zapata County","TX",-99.1686,27.0008,13896,1,"Zapata","County"
"Zavala County","TX",-99.7605,28.8662,9700,0.8498,"Zavala","County"
