,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,1999.9999999999995,1999.9999999999975
1,0.0,0.0,0.0,1999.9999999999993,0.0,2000.0000000000007
2,0.0,0.0,0.0,0.0,1999.9999999999993,0.0
3,0.0,0.0,0.0,0.0,2000.0000000000007,0.0
4,0.0,0.0,0.0,0.0,1999.9999999999998,1999.9999999999993
5,0.0,1999.999999999999,2000.0000000000005,0.0,0.0,1999.9999999999998
6,0.0,1999.9999999999998,0.0,2000.0000000000007,0.0,0.0
7,0.0,0.0,0.0,1999.9999999999993,1999.9999999999995,0.0
8,0.0,0.0,0.0,1999.9999999999993,0.0,2000.0000000000002
9,0.0,0.0,1999.9999999999998,1999.9999999999989,1999.9999999999995,0.0
