,0,1,2,3,4
0,9630185.717472749,6162694.749999998,361366782.2222222,106584196.01833218,35648608.32222222
1,9701008.69759337,6162694.749999998,477023062.22222227,106584196.01833218,36530638.760372624
2,9694533.24099674,8216926.333333331,152901632.75109655,106584196.01833218,34619809.439175576
3,0.0,12325389.499999996,0.0,0.0,0.0
4,9694018.380587032,6162694.749999998,279713018.12703836,106584196.01833218,35068530.1552786
5,9650126.472184937,7474931.383333331,1161590071.1111112,106584196.01833218,38009544.919444464
6,0.0,12325389.499999996,0.0,0.0,0.0
7,0.0,12325389.499999996,0.0,0.0,0.0
8,9681848.107975611,2054231.5833333328,426681982.2222223,106584196.01833218,36088219.71784846
9,7372397.740508616,7492726.100000001,0.0,83581219.5819401,24260779.499999996
