County,S_Shelter_housedhold,L_Shelter_housedhold,demand
Abbeville,0,0,0
Aiken,0,0,0
Allendale,0,0,0
Anderson,0,0,0
Bamberg,0,0,0
Barnwell,0,0,0
Beaufort,0,0,0
Berkeley,34,47,81
Calhoun,1,3,4
Charleston,30,39,69
Cherokee,0,0,0
Chester,0,0,0
Chesterfield,5,7,12
Clarendon,15,17,32
Colleton,0,0,0
Darlington,30,40,70
Dillon,20,24,44
Dorchester,11,18,29
Edgefield,0,0,0
Fairfield,0,0,0
Florence,160,205,365
Georgetown,263,377,640
Greenville,0,0,0
Greenwood,0,0,0
Hampton,0,0,0
Horry,3735,5391,9126
Jasper,0,0,0
Kershaw,5,7,12
Lancaster,0,0,0
Laurens,0,0,0
Lee,9,9,18
Lexington,0,0,0
McCormick,0,0,0
Marion,65,76,141
Marlboro,8,8,16
Newberry,0,0,0
Oconee,0,0,0
Orangeburg,4,4,8
Pickens,0,0,0
Richland,4,11,15
Saluda,0,0,0
Spartanburg,0,0,0
Sumter,26,29,55
Union,0,0,0
Williamsburg,63,73,136
York,0,0,0
