County,S_Shelter_housedhold,L_Shelter_housedhold,demand
Abbeville,0,0,0
Aiken,0,0,0
Allendale,0,0,0
Anderson,0,0,0
Bamberg,0,0,0
Barnwell,0,0,0
Beaufort,0,0,0
Berkeley,1416,1951,3367
Calhoun,1,1,2
Charleston,2442,3702,6144
Cherokee,0,0,0
Chester,3,5,8
Chesterfield,413,532,945
Clarendon,282,372,654
Colleton,0,0,0
Darlington,1617,2024,3641
Dillon,1338,1600,2938
Dorchester,63,87,150
Edgefield,0,0,0
Fairfield,1,1,2
Florence,4710,6130,10840
Georgetown,5121,7210,12331
Greenville,0,0,0
Greenwood,0,0,0
Hampton,0,0,0
Horry,17138,24748,41886
Jasper,0,0,0
Kershaw,46,59,105
Lancaster,38,48,86
Laurens,0,0,0
Lee,251,295,546
Lexington,0,0,0
McCormick,0,0,0
Marion,2187,2551,4738
Marlboro,975,1133,2108
Newberry,0,0,0
Oconee,0,0,0
Orangeburg,13,14,27
Pickens,0,0,0
Richland,14,20,34
Saluda,0,0,0
Spartanburg,0,0,0
Sumter,280,347,627
Union,0,0,0
Williamsburg,2246,2643,4889
York,38,52,90
