County,S_Shelter_housedhold,L_Shelter_housedhold,demand
Abbeville,0,0,0
Aiken,0,0,0
Allendale,0,0,0
Anderson,0,0,0
Bamberg,0,0,0
Barnwell,0,0,0
Beaufort,0,0,0
Berkeley,796,1145,1941
Calhoun,4,5,9
Charleston,1580,2207,3787
Cherokee,0,0,0
Chester,7,7,14
Chesterfield,5,7,12
Clarendon,60,74,134
Colleton,9,10,19
Darlington,20,25,45
Dillon,0,0,0
Dorchester,222,313,535
Edgefield,0,0,0
Fairfield,4,4,8
Florence,44,53,97
Georgetown,56,71,127
Greenville,0,0,0
Greenwood,0,0,0
Hampton,0,0,0
Horry,27,35,62
Jasper,0,0,0
Kershaw,35,44,79
Lancaster,42,54,96
Laurens,0,0,0
Lee,25,30,55
Lexington,0,0,0
McCormick,0,0,0
Marion,0,0,0
Marlboro,0,0,0
Newberry,0,0,0
Oconee,0,0,0
Orangeburg,32,38,70
Pickens,0,0,0
Richland,43,51,94
Saluda,0,0,0
Spartanburg,0,0,0
Sumter,117,145,262
Union,0,0,0
Williamsburg,50,56,106
York,85,111,196
