"","ID","Name","state.name","x","y","Max.Wind","Year","Month","cat","color"
"65","AL031983","ALICIA","texas",-95.17400858,29.21101287,112.4195147,1983,8,3,"blue"
"66","AL041985","DANNY","louisiana",-92.7,29.62377423,91.98707353,1985,8,1,"blue"
"67","AL051985","ELENA","mississippi",-89.14018476,30.37009238,114.8507917,1985,9,3,"blue"
"68","AL131985","KATE","florida",-85.42789229,29.96812309,97.74946558,1985,11,2,"blue"
"69","AL021986","BONNIE","texas",-94.21681229,29.65043687,85.6800464,1986,6,1,"blue"
"70","AL071988","FLORENCE","louisiana",-89.3,29.0609944,80.4676788,1988,9,1,"blue"
"71","AL041989","CHANTAL","texas",-94.38669213,29.58669213,80.5361913,1989,8,1,"blue"
"72","AL141989","JERRY","texas",-94.98927793,29.3286648,85.30748397,1989,10,1,"blue"
"73","AL171995","OPAL","florida",-87.05439803,30.4064046,114.1618097,1995,10,3,"blue"
"74","AL051997","DANNY","louisiana",-89.52883323,29.41411118,76.87231784,1997,7,1,"blue"
"75","AL051998","EARL","florida",-85.68197716,30.112722,80.55191724,1998,9,1,"blue"
"76","AL071998","GEORGES","mississippi",-88.9,30.40121821,103.5685304,1998,9,2,"blue"
"77","AL031999","BRET","texas",-97.55826892,26.93165378,109.3890141,1999,8,2,"blue"
"78","AL132002","LILI","louisiana",-92.21822564,29.59112822,91.88651445,2002,10,1,"blue"
"79","AL042003","CLAUDETTE","texas",-96.49492312,28.42639562,85.64236588,2003,7,1,"blue"
"80","AL032004","CHARLEY","florida",-82.10053085,26.89840745,143.8473641,2004,8,4,"blue"
"81","AL092004","IVAN","alabama",-87.89226135,30.24643188,120.6059776,2004,9,3,"blue"
"82","AL042005","DENNIS","florida",-87.09924589,30.39811472,120.8314705,2005,7,3,"blue"
"83","AL122005","KATRINA","louisiana",-89.6,29.27416586,126.578644,2005,8,3,"blue"
"84","AL182005","RITA","louisiana",-93.73519758,29.77039516,114.5710696,2005,9,3,"blue"
"85","AL252005","WILMA","florida",-81.66047723,25.91693833,120.7800017,2005,10,3,"blue"
"86","AL092007","HUMBERTO","texas",-94.27018372,29.62981628,91.87144904,2007,9,1,"blue"
"87","AL042008","DOLLY","texas",-97.40480688,26.40120172,80.56060384,2008,7,1,"blue"
"88","AL072008","GUSTAV","louisiana",-90.67684603,29.17684603,103.5460665,2008,9,2,"blue"
"89","AL092008","IKE","texas",-94.75372486,29.40744972,108.9422589,2008,9,2,"blue"
"90","AL092012","ISAAC","louisiana",-90.12441991,29.16220996,80.19983745,2012,8,1,"blue"
"91","AL092016","ERMINE","florida",-84.09772937,30.10454127,80.54977571,2016,9,1,"blue"
"92","AL092017","HARVEY","texas",-97.09654841,28.19654841,120.8100764,2017,8,3,"blue"
