"","Year","Category","Next_Category","Count","Transition_Prob"
"136",2040,2,3,13,0.00777047220561865
"137",2040,3,1,54,0.794117647058823
"138",2040,3,2,14,0.205882352941176
"139",2041,1,1,6654,0.814443084455324
"140",2041,1,2,1449,0.177356181150551
"141",2041,1,3,67,0.00820073439412485
"142",2041,2,1,1446,0.822993739328401
"143",2041,2,2,301,0.171314741035857
"144",2041,2,3,10,0.00569151963574274
"145",2041,3,1,64,0.876712328767123
"146",2041,3,2,9,0.123287671232877
"147",2042,1,1,6646,0.8140617344439
"148",2042,1,2,1447,0.177241548260657
"149",2042,1,3,71,0.00869671729544341
"150",2042,2,1,1417,0.805571347356453
"151",2042,2,2,329,0.187038089823763
"152",2042,2,3,13,0.00739056281978397
"153",2042,3,1,66,0.857142857142857
"154",2042,3,2,11,0.142857142857143
"155",2043,1,1,6586,0.810185754705376
"156",2043,1,2,1469,0.180711034567597
"157",2043,1,3,74,0.00910321072702669
"158",2043,2,1,1424,0.796866256295467
"159",2043,2,2,342,0.191382204812535
"160",2043,2,3,21,0.0117515388919978
"161",2043,3,1,67,0.797619047619048
"162",2043,3,2,17,0.202380952380952
"163",2044,1,1,6440,0.797325739754859
"164",2044,1,2,1552,0.192150550947134
"165",2044,1,3,85,0.0105237092980067
"166",2044,2,1,1466,0.801969365426696
"167",2044,2,2,336,0.183807439824945
"168",2044,2,3,26,0.0142231947483589
"169",2044,3,1,70,0.736842105263158
"170",2044,3,2,24,0.252631578947368
"171",2044,3,3,1,0.0105263157894737
"172",2045,1,1,6246,0.783099297893681
"173",2045,1,2,1642,0.205867602808425
"174",2045,1,3,88,0.0110330992978937
"175",2045,2,1,1519,0.794456066945607
"176",2045,2,2,374,0.195606694560669
"177",2045,2,3,19,0.00993723849372385
"178",2045,3,1,85,0.758928571428571
"179",2045,3,2,25,0.223214285714286
"180",2045,3,3,2,0.0178571428571429
"181",2046,1,1,6178,0.787006369426752
"182",2046,1,2,1576,0.200764331210191
"183",2046,1,3,96,0.0122292993630573
"184",2046,2,1,1633,0.800097991180794
"185",2046,2,2,382,0.187163155316022
"186",2046,2,3,26,0.0127388535031847
"187",2046,3,1,85,0.779816513761468
"188",2046,3,2,22,0.201834862385321
"189",2046,3,3,2,0.018348623853211
"190",2047,1,1,6148,0.778622087132725
"191",2047,1,2,1642,0.207953394123607
"192",2047,1,3,106,0.0134245187436677
"193",2047,2,1,1524,0.76969696969697
"194",2047,2,2,428,0.216161616161616
"195",2047,2,3,28,0.0141414141414141
"196",2047,3,1,99,0.798387096774194
"197",2047,3,2,24,0.193548387096774
"198",2047,3,3,1,0.00806451612903226
"199",2048,1,1,6096,0.784455025093296
"200",2048,1,2,1572,0.202290567494531
"201",2048,1,3,103,0.0132544074121735
"202",2048,2,1,1632,0.779369627507163
"203",2048,2,2,439,0.209646609360076
"204",2048,2,3,23,0.0109837631327603
"205",2048,3,1,112,0.82962962962963
"206",2048,3,2,22,0.162962962962963
"207",2048,3,3,1,0.00740740740740741
"208",2049,1,1,6013,0.766964285714286
"209",2049,1,2,1695,0.216198979591837
"210",2049,1,3,132,0.0168367346938776
"211",2049,2,1,1568,0.771273979340876
"212",2049,2,2,440,0.216428922774225
"213",2049,2,3,25,0.0122970978848992
"214",2049,3,1,104,0.818897637795276
"215",2049,3,2,20,0.15748031496063
"216",2049,3,3,3,0.0236220472440945
"217",2050,1,1,5930,0.771633051398829
"218",2050,1,2,1620,0.210800260247235
"219",2050,1,3,135,0.0175666883539362
"220",2050,2,1,1637,0.759628770301624
"221",2050,2,2,488,0.226450116009281
"222",2050,2,3,30,0.0139211136890951
"223",2050,3,1,135,0.84375
"224",2050,3,2,25,0.15625
"225",2051,1,1,5939,0.771098415995845
"226",2051,1,2,1644,0.21345105167489
"227",2051,1,3,119,0.0154505323292651
"228",2051,2,1,1634,0.766057196436943
"229",2051,2,2,469,0.219878105954055
"230",2051,2,3,30,0.0140646976090014
"231",2051,3,1,125,0.757575757575758
"232",2051,3,2,36,0.218181818181818
"233",2051,3,3,4,0.0242424242424242
"234",2052,1,1,5808,0.75448168355417
"235",2052,1,2,1734,0.225253312548714
"236",2052,1,3,156,0.0202650038971161
"237",2052,2,1,1618,0.752908329455561
"238",2052,2,2,488,0.227082363890181
"239",2052,2,3,43,0.0200093066542578
"240",2052,3,1,117,0.764705882352941
"241",2052,3,2,33,0.215686274509804
"242",2052,3,3,3,0.0196078431372549
