,0,1,2,3,4
0,10509906.771929111,5590915.440000001,888149219.9999999,117881733.15337336,42026500.44999998
1,0.0,13631835.96,0.0,0.0,0.0
2,10683451.972571258,9989279.040000001,558564520.0000001,117881733.15337336,40750639.47499998
3,10454737.32600655,2271972.66,94117559.99999988,117881733.15337336,36133914.92500003
4,0.0,13631835.96,0.0,0.0,0.0
5,10497206.193058183,9087890.64,451070760.0,117881733.15337336,39602996.95000001
6,10329015.226363987,9087890.64,117109559.9999999,117881733.15337336,36923930.77500002
7,10807094.115559978,9087890.64,296102195.99999994,117881733.15337336,38595922.30750001
8,10836258.722234238,6815917.98,164170835.99999994,117881733.15337336,37283920.28250002
9,10735369.888200577,4543945.32,390098399.9999999,117881733.15337336,39010810.475
