Stage,state,state_next
4.000000,2.000000,3.000000,0.003174
4.000000,2.000000,4.000000,0.124467
4.000000,2.000000,5.000000,0.859026
4.000000,3.000000,0.000000,0.000000
4.000000,3.000000,1.000000,0.001666
4.000000,3.000000,2.000000,0.006999
4.000000,3.000000,3.000000,0.000000
4.000000,3.000000,4.000000,0.190641
4.000000,3.000000,5.000000,0.800694
4.000000,4.000000,0.000000,0.000041
4.000000,4.000000,1.000000,0.001010
4.000000,4.000000,2.000000,0.007614
4.000000,4.000000,3.000000,0.004683
4.000000,4.000000,4.000000,0.115526
4.000000,4.000000,5.000000,0.871126
4.000000,5.000000,0.000000,0.000028
4.000000,5.000000,1.000000,0.001093
4.000000,5.000000,2.000000,0.007544
4.000000,5.000000,3.000000,0.003189
4.000000,5.000000,4.000000,0.125056
4.000000,5.000000,5.000000,0.863090
5.000000,0.000000,0.000000,0.000000
5.000000,0.000000,1.000000,0.000000
5.000000,0.000000,2.000000,0.000000
5.000000,0.000000,3.000000,0.000000
5.000000,0.000000,4.000000,0.058824
5.000000,0.000000,5.000000,0.941176
5.000000,1.000000,0.000000,0.000000
5.000000,1.000000,1.000000,0.000000
5.000000,1.000000,2.000000,0.000000
5.000000,1.000000,3.000000,0.001599
5.000000,1.000000,4.000000,0.127098
5.000000,1.000000,5.000000,0.871303
5.000000,2.000000,0.000000,0.000000
5.000000,2.000000,1.000000,0.000000
5.000000,2.000000,2.000000,0.000000
5.000000,2.000000,3.000000,0.002754
5.000000,2.000000,4.000000,0.132301
5.000000,2.000000,5.000000,0.864945
5.000000,3.000000,0.000000,0.000000
5.000000,3.000000,1.000000,0.000303
5.000000,3.000000,2.000000,0.004842
5.000000,3.000000,3.000000,0.000000
5.000000,3.000000,4.000000,0.058521
5.000000,3.000000,5.000000,0.936334
5.000000,4.000000,0.000000,0.000008
5.000000,4.000000,1.000000,0.000654
5.000000,4.000000,2.000000,0.004483
5.000000,4.000000,3.000000,0.001590
5.000000,4.000000,4.000000,0.126444
5.000000,4.000000,5.000000,0.866820
5.000000,5.000000,0.000000,0.000014
5.000000,5.000000,1.000000,0.000681
5.000000,5.000000,2.000000,0.004450
5.000000,5.000000,3.000000,0.002740
5.000000,5.000000,4.000000,0.131620
5.000000,5.000000,5.000000,0.860496
6.000000,0.000000,0.000000,0.000000
6.000000,0.000000,1.000000,0.000000
6.000000,0.000000,2.000000,0.000000
6.000000,0.000000,3.000000,0.000000
6.000000,0.000000,4.000000,0.115385
6.000000,0.000000,5.000000,0.884615
6.000000,1.000000,0.000000,0.000000
6.000000,1.000000,1.000000,0.000000
6.000000,1.000000,2.000000,0.000000
6.000000,1.000000,3.000000,0.006849
6.000000,1.000000,4.000000,0.142314
6.000000,1.000000,5.000000,0.850837
6.000000,2.000000,0.000000,0.000000
6.000000,2.000000,1.000000,0.000000
6.000000,2.000000,2.000000,0.000000
6.000000,2.000000,3.000000,0.003926
6.000000,2.000000,4.000000,0.137644
6.000000,2.000000,5.000000,0.858430
6.000000,3.000000,0.000000,0.000000
6.000000,3.000000,1.000000,0.000754
6.000000,3.000000,2.000000,0.005779
6.000000,3.000000,3.000000,0.000000
6.000000,3.000000,4.000000,0.114631
6.000000,3.000000,5.000000,0.878836
6.000000,4.000000,0.000000,0.000045
6.000000,4.000000,1.000000,0.000930
6.000000,4.000000,2.000000,0.005559
6.000000,4.000000,3.000000,0.006805
6.000000,4.000000,4.000000,0.141384
6.000000,4.000000,5.000000,0.845278
6.000000,5.000000,0.000000,0.000026
6.000000,5.000000,1.000000,0.000899
6.000000,5.000000,2.000000,0.005608
6.000000,5.000000,3.000000,0.003900
6.000000,5.000000,4.000000,0.136745
6.000000,5.000000,5.000000,0.852821
7.000000,0.000000,0.000000,0.000000
7.000000,0.000000,1.000000,0.002862
7.000000,0.000000,2.000000,0.012522
7.000000,0.000000,3.000000,0.000000
7.000000,0.000000,4.000000,0.183184
7.000000,0.000000,5.000000,0.801431
7.000000,1.000000,0.000000,0.000056
7.000000,1.000000,1.000000,0.002071
7.000000,1.000000,2.000000,0.013258
7.000000,1.000000,3.000000,0.003562
7.000000,1.000000,4.000000,0.132517
7.000000,1.000000,5.000000,0.848536
7.000000,2.000000,0.000000,0.000074
7.000000,2.000000,1.000000,0.002166
7.000000,2.000000,2.000000,0.013146
7.000000,2.000000,3.000000,0.004708
7.000000,2.000000,4.000000,0.138593
7.000000,2.000000,5.000000,0.841315
7.000000,3.000000,0.000000,0.000000
7.000000,3.000000,1.000000,0.001367
7.000000,3.000000,2.000000,0.005981
7.000000,3.000000,3.000000,0.000000
7.000000,3.000000,4.000000,0.184679
7.000000,3.000000,5.000000,0.807973
7.000000,4.000000,0.000000,0.000027
7.000000,4.000000,1.000000,0.000989
7.000000,4.000000,2.000000,0.006332
7.000000,4.000000,3.000000,0.003591
7.000000,4.000000,4.000000,0.133599
7.000000,4.000000,5.000000,0.855462
7.000000,5.000000,0.000000,0.000035
7.000000,5.000000,1.000000,0.001034
7.000000,5.000000,2.000000,0.006278
7.000000,5.000000,3.000000,0.004746
7.000000,5.000000,4.000000,0.139724
7.000000,5.000000,5.000000,0.848182
8.000000,0.000000,0.000000,0.000000
8.000000,0.000000,1.000000,0.000000
8.000000,0.000000,2.000000,0.000000
8.000000,0.000000,3.000000,0.000000
8.000000,0.000000,4.000000,0.173913
8.000000,0.000000,5.000000,0.826087
8.000000,1.000000,0.000000,0.000000
8.000000,1.000000,1.000000,0.000000
8.000000,1.000000,2.000000,0.000000
8.000000,1.000000,3.000000,0.002141
8.000000,1.000000,4.000000,0.147752
8.000000,1.000000,5.000000,0.850107
8.000000,2.000000,0.000000,0.000000
8.000000,2.000000,1.000000,0.000000
8.000000,2.000000,2.000000,0.000000
8.000000,2.000000,3.000000,0.005612
8.000000,2.000000,4.000000,0.140535
8.000000,2.000000,5.000000,0.853852
8.000000,3.000000,0.000000,0.000000
8.000000,3.000000,1.000000,0.001226
8.000000,3.000000,2.000000,0.005826
8.000000,3.000000,3.000000,0.000000
8.000000,3.000000,4.000000,0.172687
8.000000,3.000000,5.000000,0.820261
8.000000,4.000000,0.000000,0.000015
8.000000,4.000000,1.000000,0.001042
8.000000,4.000000,2.000000,0.005995
8.000000,4.000000,3.000000,0.002126
8.000000,4.000000,4.000000,0.146710
8.000000,4.000000,5.000000,0.844112
8.000000,5.000000,0.000000,0.000040
8.000000,5.000000,1.000000,0.000991
8.000000,5.000000,2.000000,0.006022
8.000000,5.000000,3.000000,0.005572
8.000000,5.000000,4.000000,0.139544
8.000000,5.000000,5.000000,0.847831
9.000000,0.000000,0.000000,0.000000
9.000000,0.000000,1.000000,0.000000
9.000000,0.000000,2.000000,0.000000
9.000000,0.000000,3.000000,0.019608
9.000000,0.000000,4.000000,0.176471
9.000000,0.000000,5.000000,0.803922
9.000000,1.000000,0.000000,0.000000
9.000000,1.000000,1.000000,0.000000
9.000000,1.000000,2.000000,0.000000
9.000000,1.000000,3.000000,0.003529
9.000000,1.000000,4.000000,0.152435
9.000000,1.000000,5.000000,0.844037
9.000000,2.000000,0.000000,0.000000
9.000000,2.000000,1.000000,0.000000
9.000000,2.000000,2.000000,0.000000
9.000000,2.000000,3.000000,0.003868
9.000000,2.000000,4.000000,0.150141
9.000000,2.000000,5.000000,0.845992
9.000000,3.000000,0.000000,0.000156
9.000000,3.000000,1.000000,0.001404
9.000000,3.000000,2.000000,0.006396
9.000000,3.000000,3.000000,0.019452
9.000000,3.000000,4.000000,0.175067
9.000000,3.000000,5.000000,0.797526
9.000000,4.000000,0.000000,0.000028
9.000000,4.000000,1.000000,0.001213
9.000000,4.000000,2.000000,0.006715
9.000000,4.000000,3.000000,0.003501
9.000000,4.000000,4.000000,0.151222
9.000000,4.000000,5.000000,0.837322
9.000000,5.000000,0.000000,0.000031
9.000000,5.000000,1.000000,0.001194
9.000000,5.000000,2.000000,0.006730
9.000000,5.000000,3.000000,0.003837
9.000000,5.000000,4.000000,0.148946
9.000000,5.000000,5.000000,0.839261
