,0,1,2,3,4
0,68914813.73995951,51223226.40000001,0.0,1586361251.3605788,214929683.77499998
1,145301134.30108023,122297808.00000003,0.0,182817404.72520956,455861676.59999996
2,16791786.081517853,14093995.199999992,0.0,168782066.50104305,52486199.44999999
3,14937968.336073784,6505982.3999999985,0.0,638358715.7630938,48737271.12499997
4,57731361.85177411,49213173.600000024,0.0,0.0,181464392.22499982
5,0.0,0.0,0.0,298639375.7385226,0.0
6,27048449.43415766,23023091.99999998,0.0,0.0,85237150.65000004
7,0.0,0.0,0.0,463582166.47393084,0.0
8,42509836.079446666,17869537.200000003,0.0,288439017.1862588,131920405.00000006
9,26420409.586330563,27795890.999999985,0.0,751608758.6618671,82230785.00000001
