,0,1,2,3,4
0,56746710.83427555,108013703.99999999,0.0,616374172.1025071,177835342.72500002
1,85439965.39092436,93424923.60000001,0.0,923856340.7738159,266951426.52499968
2,44448779.839865245,107953729.20000002,0.0,474428371.1173177,136972850.04999995
3,45876324.329592764,107178610.80000001,0.0,494536953.84803355,143227480.94999996
4,61687877.99964904,104443423.2,0.0,684717863.2307951,198247580.34999996
5,99258218.84156042,48937559.999999955,0.0,1083896572.544788,313245382.3749999
6,70327024.56494598,65368212.59999995,0.0,758749582.4609495,219282214.82500005
7,99180175.21260892,77499102.60000001,0.0,1091676082.278772,315208838.89999986
8,63863787.81782439,99713707.8,0.0,700149431.9180334,201731413.27499998
9,99945081.09946267,67995553.19999999,588944400.0000004,1091676082.278772,330991267.87499964
