,0,1,2,3,4
0,0.0,920736.0000000008,0.0,0.0,0.0
1,0.0,920736.0000000008,0.0,0.0,0.0
2,642022.6548504421,613824.0000000006,439260480.0,7962093.717617217,2799279.5000000023
3,0.0,920736.0000000008,0.0,0.0,0.0
4,619075.8209677761,306912.0000000003,325930320.0,7962093.717617217,2801741.3250000025
5,644518.3937243498,613824.0000000006,739906480.0,7962093.717617217,2780000.0000000033
6,0.0,920736.0000000008,0.0,0.0,0.0
7,0.0,920736.0000000008,0.0,0.0,0.0
8,647812.5232983457,613824.0000000006,356870680.0,7962093.717617217,2831951.3500000024
9,653755.801591689,306912.0000000003,679413960.0,7962093.717617217,2780188.1750000026
