Tract,CountyFips,BldgSchemesId,Tract6,TractArea,Length,NumAggrBocks,CenLat,CenLongit,ESRI_OID,FID,CountyFips_1,CountyFi_1,CountyName,State,StateFips,NumTracts
45003022001,45003,1,22001,84.2372208,185.2970886,129,33.441349,-81.652306,46,622,45003,3,Aiken,SC,45,43
45003022003,45003,1,22003,79.9184723,184.4349976,92,33.444088,-81.751839,47,622,45003,3,Aiken,SC,45,43
45003022004,45003,1,22004,45.7823792,111.4174576,106,33.39447,-81.770996,48,622,45003,3,Aiken,SC,45,43
45003022100,45003,1,22100,121.6858368,250.7234955,134,33.342007,-81.800163,49,622,45003,3,Aiken,SC,45,43
45003980100,45003,1,980100,295.1241455,438.4563293,41,33.30109,-81.68074,50,622,45003,3,Aiken,SC,45,43
45005970201,45005,1,970201,32.9391136,111.69841,184,33.00766,-81.302757,51,1154,45005,5,Allendale,SC,45,3
45005970202,45005,1,970202,493.3354492,566.2734985,173,33.034702,-81.395714,52,1154,45005,5,Allendale,SC,45,3
45005970500,45005,1,970500,541.0588379,739.8959351,402,32.98473,-81.245979,53,1154,45005,5,Allendale,SC,45,3
45007000200,45007,1,200,5.0016026,53.5837746,111,34.521427,-82.64637,54,623,45007,7,Anderson,SC,45,51
45007000300,45007,1,300,5.9136925,44.6731644,69,34.529511,-82.628876,55,623,45007,7,Anderson,SC,45,51
45007000500,45007,1,500,7.9372082,42.1170273,58,34.489815,-82.603188,56,623,45007,7,Anderson,SC,45,51
45007000600,45007,1,600,5.9135056,49.840992,144,34.493336,-82.639145,57,623,45007,7,Anderson,SC,45,51
45007000701,45007,1,701,4.0271654,38.4341049,113,34.50082,-82.666145,58,623,45007,7,Anderson,SC,45,51
45007000702,45007,1,702,3.6926317,39.99897,108,34.488518,-82.654984,59,623,45007,7,Anderson,SC,45,51
45007000800,45007,1,800,4.6212449,37.7056732,82,34.515049,-82.680969,60,623,45007,7,Anderson,SC,45,51
45007000900,45007,1,900,3.7777553,42.6479874,100,34.520222,-82.665314,61,623,45007,7,Anderson,SC,45,51
45007001000,45007,1,1000,5.8875775,43.085659,62,34.539581,-82.678413,62,623,45007,7,Anderson,SC,45,51
45007001100,45007,1,1100,9.8324394,73.379631,106,34.546688,-82.656761,63,623,45007,7,Anderson,SC,45,51
45007010103,45007,1,10103,30.8255653,126.4587555,87,34.78476,-82.508446,64,623,45007,7,Anderson,SC,45,51
45007010105,45007,1,10105,11.1555099,53.4566765,50,34.774822,-82.477455,65,623,45007,7,Anderson,SC,45,51
45007010106,45007,1,10106,32.3805656,105.0882874,63,34.719711,-82.521988,66,623,45007,7,Anderson,SC,45,51
